place_id,name_checked,address_checked,phone,city,district,business_status,opening_hours,types,rating,rating_total,longitude,latitude,map_url,website,newest_review
ChIJ-b1WzEUfaDQRnXNrqggP6Ew,全日動物醫院24H/夜間急診暨住院照護-桃園/三峽/八德/龜山/蘆竹/鶯歌狗貓夜間急診|寵物夜間急診|24小時動物醫院|狗貓心臟病|狗貓腹膜透析|狗貓隔離病房|狗貓ICU|狗貓輸血,330台灣桃園市桃園區永安路765巷77號,032717530,桃園市,桃園區,OPERATIONAL,168.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.7,118.0,121.2899334,25.0062715,https://maps.google.com/?cid=5541695871372719005,https://www.facebook.com/profile.php?id=61565169941772&mibextid=LQQJ4d,2025-09-07
ChIJ-c3ZPl2pQjQRkHI3FoLPRwo,復生動物醫院,10491台灣臺北市中山區民生東路一段78號,0225643940,臺北市,中山區,OPERATIONAL,71.5,"['establishment', 'point_of_interest', 'veterinary_care']",4.3,64.0,121.5266807,25.0579195,https://maps.google.com/?cid=740788821351166608,https://zh-tw.facebook.com/pages/category/Medical-Company/%E5%BE%A9%E7%94%9F%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2-694586850563811/,2024-05-11
ChIJ-zIpZ7w9aTQR9dwjosSOeSA,五福動物醫院,403028台灣臺中市西區五權路2-191號8號,0423762508,臺中市,西區,OPERATIONAL,63.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.5,196.0,120.6661936,24.1345651,https://maps.google.com/?cid=2340058456580676853,https://woofvet.com.tw/,2025-07-19
ChIJ-zca2T8FbjQRHz3A2orEY6M,順心動物醫院-高雄犬貓輸血|動物心臟病|寵物牙科|動物洗牙|動物夜間急診|動物眼科|24小時動物醫院|急診動物醫院|狗貓長照,807台灣高雄市三民區大順二路233號,073809382,高雄市,三民區,OPERATIONAL,168.0,"['establishment', 'point_of_interest', 'veterinary_care']",3.8,475.0,120.3259118,22.6445433,https://maps.google.com/?cid=11773469951531171103,https://yatongvet.com/,2025-09-17
ChIJ05Bq9EQ9aTQRY8YLM_fCIbw,凝視犬貓專科醫院（全預約門診）,407台灣臺中市西屯區東興路三段305號,0423260250,臺中市,西屯區,OPERATIONAL,51.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.6,47.0,120.6538838,24.1561966,https://maps.google.com/?cid=13556330720331023971,https://gazevetcare.com.tw/,2024-06-28
ChIJ05JoBT-pQjQRbAJe2dutcy8,不萊梅特殊寵物專科醫院,103台灣臺北市大同區民權西路227號,0225993907,臺北市,大同區,OPERATIONAL,54.5,"['establishment', 'point_of_interest', 'veterinary_care']",4.4,855.0,121.5121234,25.0631701,https://maps.google.com/?cid=3419267701860598380,https://www.facebook.com/Bravevetnew,2025-08-05
ChIJ06bboP4faDQRkMH2IjoeOwQ,沃沃動物醫院-(預約優先制)-犬貓牙科/內科/外科手術/心臟科(不定期公休以門診表為主),334台灣桃園市八德區義勇街22號,032739932,桃園市,八德區,OPERATIONAL,51.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.7,68.0,121.3014263,24.9639116,https://maps.google.com/?cid=304870634821173648,http://www.facebook.com/vovoah22/,2023-04-12
ChIJ09KdWlgFbjQRqDB_RB368ik,喜來樂動物醫院,800台灣高雄市新興區民族二路67號,072360012,高雄市,新興區,OPERATIONAL,52.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.8,158.0,120.3130282,22.6315455,https://maps.google.com/?cid=3022753303529205928,https://www.facebook.com/profile.php?id=61564423527575,2025-07-22
ChIJ0UK1LVKuQjQR993JBnkB_Kg,杜瑪動物醫院（全預約制）,112台灣臺北市北投區大業路541號,0228977779,臺北市,北投區,OPERATIONAL,60.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.6,240.0,121.4965108,25.1354176,https://maps.google.com/?cid=12176609111819542007,https://dumaah.com/,2025-09-11
ChIJ0XUKu5upQjQRu6GXEFO3fM0,博愛動物醫院,100台灣臺北市中正區杭州南路二段92號,0233938850,臺北市,中正區,OPERATIONAL,55.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.8,1062.0,121.5218245,25.0293092,https://maps.google.com/?cid=14806911242275889595,http://www.poaipets.com.tw/,2025-07-10
ChIJ0b9jpPKsQjQRsRPNdlhRlb8,健生動物醫院,114台灣臺北市內湖區成功路四段182巷8弄4號,0227910198,臺北市,內湖區,OPERATIONAL,51.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.0,78.0,121.5936538,25.0840925,https://maps.google.com/?cid=13805029673166246833,,2023-05-29
ChIJ0wQNny4faDQRZdL4s6baK3E,圓霖動物醫院-中正分院,330台灣桃園市桃園區中正路836號,033177608,桃園市,桃園區,OPERATIONAL,84.0,"['establishment', 'point_of_interest', 'veterinary_care']",3.5,44.0,121.3017007,25.0100205,https://maps.google.com/?cid=8154851959803269733,https://www.petsfamily.com.tw/page/yuanlin,2021-07-18
ChIJ0xacT1elQjQRyBSBFIanrGs,淡水動物醫院,251台灣新北市淡水區中山路159-2號,0226217987,新北市,淡水區,OPERATIONAL,71.5,"['establishment', 'point_of_interest', 'veterinary_care']",4.3,339.0,121.4406457,25.1732243,https://maps.google.com/?cid=7758760452363982024,,2025-08-05
ChIJ0y1f3SMFbjQRYd5JSDsk3k8,宏力動物醫院,807台灣高雄市三民區明誠一路326號,073102819,高雄市,三民區,OPERATIONAL,126.0,"['establishment', 'point_of_interest', 'veterinary_care']",3.8,1545.0,120.3247709,22.6600018,https://maps.google.com/?cid=5755077210860543585,https://hunglivet.com/,2025-10-19
ChIJ0yp_SwAfaDQRu5_JRXk1o_g,聯盟動物醫院 桃園龜山萬壽分院 心臟專科 眼科專科 犬貓內外科團隊 牙科COHATCohat(全方位口腔健康評估與治療) 桃園獸醫推薦,333台灣桃園市龜山區萬壽路二段1125號1樓,033505565#1120,桃園市,龜山區,OPERATIONAL,63.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.8,95.0,121.3335591,24.9935095,https://maps.google.com/?cid=17916222537588121531,https://www.pet100pa.com/hospital_detail/%E6%A1%83%E5%9C%92%E9%BE%9C%E5%B1%B1%E8%90%AC%E5%A3%BD%E9%99%A2,2025-05-08
ChIJ11feqcUPbjQRhDKI6bCqfcw,清豐動物醫院,811台灣高雄市楠梓區鳳楠路259號,073535711,高雄市,楠梓區,OPERATIONAL,81.0,"['establishment', 'pet_store', 'point_of_interest', 'store', 'veterinary_care']",4.6,301.0,120.329123,22.725979,https://maps.google.com/?cid=14735121232635114116,,2025-10-01
ChIJ12_re2FxbjQRPHEvFTTNX4c,杏玲動物醫院,71089台灣臺南市永康區文化路124號,062023725,台南市,永康區,OPERATIONAL,54.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.3,40.0,120.2577068,23.0159641,https://maps.google.com/?cid=9754740941485207868,,2022-04-19
ChIJ17Bz-pwEbjQRtREVXxbOXO0,方濟動物醫院,802台灣高雄市苓雅區復興二路No. 13-3號,073340721,高雄市,苓雅區,OPERATIONAL,20.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.9,68.0,120.311321,22.617194,https://maps.google.com/?cid=17103772080326119861,,2019-03-27
ChIJ1Q4JnYWuQjQRPtvr1zzK1ug,楊動物醫院,111台灣臺北市士林區中山北路六段368號,0228717261,臺北市,士林區,OPERATIONAL,73.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.4,386.0,121.5264746,25.112309,https://maps.google.com/?cid=16777819824484768574,https://m.facebook.com/Dr.YangsAH/,2025-08-12
ChIJ1Redzq8FbjQRGMh06n12sdM,聖愛動物醫院,"813台灣 Kaohsiung City, Zuoying District, No. 3-1, Zhonghua 1st Road",075874211,高雄市,左營區,OPERATIONAL,66.5,"['establishment', 'health', 'hospital', 'point_of_interest']",4.6,20.0,120.286837,22.670294,https://maps.google.com/?cid=15254103696057092120,,2023-07-08
ChIJ1SHuJpkEbjQROenIVz7UEDU,三和台大動物醫院,80253台灣高雄市苓雅區光華一路23號,073383828,高雄市,苓雅區,OPERATIONAL,45.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.7,58.0,120.3173277,22.6188657,https://maps.google.com/?cid=3823789447863396665,https://www.facebook.com/%E4%B8%89%E5%92%8C%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2-207517025936323/,2021-12-10
ChIJ1SieiRqoQjQRjsLgijB_N_o,亞麥動物醫院,220台灣新北市板橋區國光路77號,0222724481,新北市,板橋區,OPERATIONAL,57.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.8,269.0,121.4596436,25.0183523,https://maps.google.com/?cid=18030019479666213518,,2025-09-08
ChIJ1Z1nNAw9aTQRDR4RethGfjw,晨星獸醫病理中心,403台灣臺中市西區大明街4號,0422290816,臺中市,西區,OPERATIONAL,0.0,"['establishment', 'point_of_interest', 'veterinary_care']",5.0,2.0,120.6744707,24.1389417,https://maps.google.com/?cid=4358999384916041229,,2020-08-14
ChIJ1ZD2pfx4bjQRuNieB4NUhXU,港明寵物醫院,723台灣臺南市西港區新興街15巷76號,067956797,臺南市,西港區,OPERATIONAL,69.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.8,74.0,120.1997587,23.1196364,https://maps.google.com/?cid=8468267596085385400,,2025-10-05
ChIJ1aib0fYEbjQRWvMZLIwZiys,台大動物綜合醫院,807台灣高雄市三民區博愛一路115號,073111576,高雄市,三民區,OPERATIONAL,54.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.6,29.0,120.3027751,22.6445994,https://maps.google.com/?cid=3137629655219696474,,2019-02-05
ChIJ1cEvpKoQaTQRSPU3r7kTz0U,預約制-泡泡癌症動物醫院-癌症治療中心,408台灣臺中市南屯區龍德路一段102號,0423833183,臺中市,南屯區,OPERATIONAL,68.25,"['establishment', 'point_of_interest', 'veterinary_care']",4.7,524.0,120.6242832,24.1472517,https://maps.google.com/?cid=5030260997025690952,http://paopaoah.com/,2024-05-31
ChIJ1d-QhtWrQjQRq47CPYB_LGU,富康動物醫院,106台灣臺北市大安區建國南路一段298號,0227020135,臺北市,大安區,OPERATIONAL,60.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.8,104.0,121.5373019,25.0358279,https://maps.google.com/?cid=7290342085574692523,https://www.fukanganimal.com/,2023-04-29
ChIJ1dXync8PbjQRlyuy8AYRTho,佑康動物醫院,811台灣高雄市楠梓区楠梓路71號,073540645,高雄市,楠梓區,OPERATIONAL,63.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.7,498.0,120.32908,22.729085,https://maps.google.com/?cid=1895471214675241879,https://www.facebook.com/pages/%E4%BD%91%E5%BA%B7%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2/216811425012676,2025-01-15
ChIJ1din-_0laDQRr5_x22JWw5c,桔醬動物醫院（預約優先制）,326台灣桃園市楊梅區新成路27號,034880068,桃園市,楊梅區,OPERATIONAL,37.5,"['establishment', 'point_of_interest', 'veterinary_care']",4.8,223.0,121.1470415,24.9125614,https://maps.google.com/?cid=10935679302782525359,https://www.facebook.com/jijiang110/,2025-10-24
ChIJ1eB9ghKrQjQRMffe_JI8-FQ,小布動物醫院,115台灣臺北市南港區永吉路548號,0226547337,臺北市,南港區,OPERATIONAL,66.5,"['establishment', 'point_of_interest', 'veterinary_care']",4.5,112.0,121.5816523,25.0451494,https://maps.google.com/?cid=6122710295415551793,https://www.facebook.com/bryantanimalhospital/,2025-07-16
ChIJ1wO8gNl1bjQRBoPoU_rzNfs,慈愛動物醫院-金華分院,70241台灣臺南市南區新興路509-2號,062641220,臺南市,南區,OPERATIONAL,54.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.5,331.0,120.1878787,22.9746773,https://maps.google.com/?cid=18101642533760697094,https://www.facebook.com/Lkah002,2019-10-16
ChIJ1xTraeCrQjQRJCNzVCP5Zsg,德心動物醫院,10491台灣臺北市中山區八德路二段121號,0225045355,臺北市,中山區,OPERATIONAL,57.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.8,649.0,121.537149,25.046275,https://maps.google.com/?cid=14440503185346077476,,2025-02-26
ChIJ1z3YtxwFbjQRML86s5uoMKA,百祥動物醫院,813台灣高雄市左營區明誠二路204號,075585391,高雄市,左營區,OPERATIONAL,0.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.3,20.0,120.3095932,22.6612144,https://maps.google.com/?cid=11542911231630950192,,2025-01-09
ChIJ212Lau92bjQRJjWvBjlGhFU,成功動物醫院暨骨科外科手術中心（台南區動物血庫中心）,704台灣臺南市北區長榮路四段223號,062342855,台南市,北區,OPERATIONAL,66.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.5,202.0,120.2208448,23.0072911,https://maps.google.com/?cid=6162127400888907046,https://www.facebook.com/chengkunganimalhospital?mibextid=LQQJ4d,2023-02-26
ChIJ22VbavoEbjQRh7rPZVCMiUM,承宏家畜醫院,807台灣三民區綏遠一街133號,073115322,高雄市,三民區,OPERATIONAL,0.0,"['establishment', 'point_of_interest', 'veterinary_care']",5.0,1.0,120.3047837,22.6486428,https://maps.google.com/?cid=4866575149283916423,,2024-11-08
ChIJ26xztjEZaTQR7zV5PObfMGI,晴天動物醫院,406台灣臺中市北屯區東山路一段216-14號,0424368220,台中市,北屯區,OPERATIONAL,51.5,"['establishment', 'point_of_interest', 'veterinary_care']",4.9,247.0,120.7137618,24.1732372,https://maps.google.com/?cid=7075401194549097967,http://www.ctcvma.org.tw/Organizations?areaCode=6600800,2025-10-15
ChIJ27InWPWpQjQRm5x-HuJ-olM,德欣(中西醫)動物醫院,241台灣新北市三重區信義街4號1 樓,0229738657,新北市,三重區,OPERATIONAL,65.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.7,182.0,121.4992304,25.0648534,https://maps.google.com/?cid=6026518761014467739,https://www.facebook.com/DeXinVeterinaryClinic/,2025-08-17
ChIJ27r6hQk7aTQRWc6V_vG6XSQ,亞洲大學附屬獸醫教學醫院,413台灣臺中市霧峰區柳豐路500號,0423399590,臺中市,霧峰區,OPERATIONAL,30.0,"['establishment', 'point_of_interest', 'veterinary_care']",5.0,32.0,120.6854073,24.0463388,https://maps.google.com/?cid=2620456106720611929,https://auvh.asia.edu.tw/,2023-06-01
ChIJ286gv9gfaDQRZbp8AUn_TXs,中華動物醫院,"No. 223, No. 338中正路蘆竹區桃園市台灣 338",033522669,桃園市,蘆竹區,OPERATIONAL,55.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.2,233.0,121.2924792,25.0463576,https://maps.google.com/?cid=8885038328894503525,,2025-05-29
ChIJ29J_VpIEbjQRcribd3bghOs,人愛動物醫院附設寵物美容工作室,800台灣高雄市新興區六合一路30號,072363676,高雄市,新興區,OPERATIONAL,40.5,"['establishment', 'point_of_interest', 'veterinary_care']",4.3,242.0,120.3114659,22.63247,https://maps.google.com/?cid=16970936095256328306,,2020-08-31
ChIJ2QucSXIcaDQRyGT1NX8Us1w,昇昇動物醫院,237台灣新北市樹林區,,新北市,樹林區,OPERATIONAL,0.0,"['establishment', 'point_of_interest']",0.0,0.0,121.3811641,24.9502692,https://maps.google.com/?cid=6679705208919254216,,
ChIJ2SCz8ZwEbjQRztPlmc6hnIg,愛沛動物醫院,802台灣高雄市苓雅區復興二路17-2號,073333819,高雄市,苓雅區,OPERATIONAL,46.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.9,149.0,120.311171,22.617577,https://maps.google.com/?cid=9843920794242372558,https://www.facebook.com/ipetanimalhospital/,2024-11-17
ChIJ2VBDuKkFbjQRdcv4ppQpIVU,永馨動物醫院,804台灣高雄市鼓山區瑞豐街137號,075555909,高雄市,鼓山區,OPERATIONAL,28.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.8,123.0,120.2958687,22.6673436,https://maps.google.com/?cid=6134229885888547701,https://zh-tw.facebook.com/%E6%B0%B8%E9%A6%A8%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2-280954122055832/,2024-05-15
ChIJ2YD9mOw9aTQRiVVOrXwLIrE,艾利動物醫院,407台灣臺中市西屯區惠中路二段41號,0422589518,台中市,西屯區,OPERATIONAL,62.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.4,430.0,120.641205,24.1559711,https://maps.google.com/?cid=12763776924032849289,http://www.avcvet.com.tw/,2025-09-22
ChIJ2b3SxKCRbjQRTaNEp4KvxBo,三逢家畜醫院,732台灣臺南市白河區台南市白河區廣蓮里北埔50號,066877100,台南市,白河區,OPERATIONAL,0.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.0,2.0,120.407895,23.406845,https://maps.google.com/?cid=1928859516108317517,,2022-01-13
ChIJ2bk3KQUFbjQR0V6olzBbPXM,毛星球犬貓專科醫院,813台灣高雄市左營區自由二路415號,075565166,高雄市,左營區,OPERATIONAL,38.75,"['establishment', 'point_of_interest', 'veterinary_care']",4.6,375.0,120.3085793,22.6657302,https://maps.google.com/?cid=8303893552202014417,https://www.facebook.com/MoPlanetAnimalHospital/,2024-10-13
ChIJ2bqLtKcFbjQRfKfWw4ECBoA,宏一動物醫院,807台灣高雄市三民區大順二路443號,073848563,高雄市,三民區,OPERATIONAL,72.0,"['establishment', 'point_of_interest', 'veterinary_care']",1.0,1.0,120.3247466,22.6490303,https://maps.google.com/?cid=9225063643074701180,,2024-03-22
ChIJ2cJZMCOpQjQR2rvUUPOqVAs,毛孩子動物醫院,241台灣新北市三重區福德北路71號,0229774887,新北市,三重區,OPERATIONAL,73.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.6,565.0,121.5020615,25.0657453,https://maps.google.com/?cid=816465394470796250,,2025-01-11
ChIJ2w9mem8dbjQRLVYjb2JUDEo,聯盟動物醫院(保華分院)鳳山五甲指定動物醫院 預防針 一般犬貓內外科 家醫科,830台灣高雄市鳳山區保華一路252號,077965825#0920,高雄市,鳳山區,OPERATIONAL,45.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.9,188.0,120.3469736,22.5900601,https://maps.google.com/?cid=5335732440275310125,https://www.pet100pa.com/vet,2024-04-14
ChIJ3-EmJNaoQjQR2HDWlfSoj4o,自強動物醫院,241台灣新北市三重區自強路四段79號,0289858011,新北市,三重區,OPERATIONAL,66.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.4,41.0,121.49095,25.079009,https://maps.google.com/?cid=9984384667343024344,,2024-07-10
ChIJ32v9now9aTQR2cq-cEdUJxM,台中凡賽爾賽鴿動物醫院/新院址,407台灣臺中市西屯區重慶路8號,0423121880,臺中市,西屯區,OPERATIONAL,47.0,"['establishment', 'point_of_interest', 'store', 'veterinary_care']",4.1,595.0,120.6543586,24.1628055,https://maps.google.com/?cid=1380164476623309529,https://www.facebook.com/%E5%8F%B0%E4%B8%AD%E5%87%A1%E8%B3%BD%E7%88%BE%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2-182764435108080/?ref=hl,2025-06-10
