id,name,buss_status,address,phone,op_hours,category_id,rating,rating_total,opening_hours,longitude,latitude,map_url,website,place_id,update_time
sh0017,臺中市動物之家后里園區,OPERATIONAL,臺中市后里區堤防路370號,04-25588024,8.0,6,4.6,579,星期一: 13:30 – 15:30; 星期二: 13:30 – 15:30; 星期三: 休息; 星期四: 13:30 – 15:30; 星期五: 休息; 星期六: 13:30 – 15:30; 星期日: 休息,120.7095659,24.2863873,https://maps.google.com/?cid=2389863193963247079,https://www.animal.taichung.gov.tw/,ChIJyeW5aY4RaTQR57X1sel_KiE,2025-11-10 13:41:48
sh0018,臺中市動物之家南屯園區(整修中),OPERATIONAL,臺中市南屯區中台路601號,04-23850976,10.0,6,4.1,827,星期一: 13:30 – 16:00; 星期二: 13:30 – 16:00; 星期三: 休息; 星期四: 13:30 – 16:00; 星期五: 休息; 星期六: 13:30 – 16:00; 星期日: 休息,120.5752716,24.1477184,https://maps.google.com/?cid=6490306207961601503,https://www.animal.taichung.gov.tw/,ChIJvZdowFQ-aTQR31UQ6RszElo,2025-11-10 13:41:48
sh0019,苗栗縣生態保育教育中心(苗栗縣動物收容所),OPERATIONAL,苗栗縣銅鑼鄉朝陽村6鄰朝北55-1號,037-320049(苗栗縣動物保護防疫所)；037-558228(動物收容所),,6,5.0,5,,120.7929751,24.4997351,https://maps.google.com/?cid=15515727582660235471,,ChIJOeRQIZGpaTQRz5Ax1AfwUtc,2025-11-10 13:41:48
sh0020,新竹縣公立動物收容所,OPERATIONAL,新竹縣竹北市縣政五街192號,03-5519548,26.0,6,3.8,210,"星期一: 休息; 星期二: 09:00 – 11:30, 13:00 – 16:00; 星期三: 09:00 – 11:30, 13:00 – 16:00; 星期四: 09:00 – 11:30, 13:00 – 16:00; 星期五: 09:00 – 11:30, 13:00 – 16:00; 星期六: 10:00 – 12:00, 13:00 – 15:00; 星期日: 休息",121.0150649,24.8284583,https://maps.google.com/?cid=8618761264109593924,https://www.pet.gov.tw/AnimalApp/AnnounceMent_Announce.aspx,ChIJ7_-eFew2aDQRRCUmn7T9m3c,2025-11-10 13:41:48
sh0021,新竹市動物保護教育園區,OPERATIONAL,新竹市南寮里海濱路250號,03-5368329,22.0,6,4.1,466,"星期一: 10:00 – 12:00, 14:00 – 16:00; 星期二: 10:00 – 12:00, 14:00 – 16:00; 星期三: 10:00 – 12:00, 14:00 – 16:00; 星期四: 10:00 – 12:00, 14:00 – 16:00; 星期五: 10:00 – 12:00, 14:00 – 16:00; 星期六: 10:00 – 12:00; 星期日: 休息",120.919696,24.8330822,https://maps.google.com/?cid=9577016592590063349,https://puppy.hccg.gov.tw/ch/index.jsp,ChIJxQSvdh81aDQR9UZaidll6IQ,2025-11-10 13:41:48
sh0022,桃園市動物保護教育園區,OPERATIONAL,桃園市新屋區永興里藻礁路1668號,03-4861760,27.5,6,4.1,1286,"星期一: 休息; 星期二: 09:30 – 12:00, 13:00 – 16:00; 星期三: 休息; 星期四: 09:30 – 12:00, 13:00 – 16:00; 星期五: 09:30 – 12:00, 13:00 – 16:00; 星期六: 09:30 – 12:00, 13:00 – 16:00; 星期日: 09:30 – 12:00, 13:00 – 16:00",121.0277731,25.0084953,https://maps.google.com/?cid=14019593916125159023,https://taw.tycg.gov.tw/,ChIJO1r8MdwuaDQRbx7eQWOaj8I,2025-11-10 13:41:48
sh0023,新北市三芝區公立動物之家,OPERATIONAL,新北市三芝區青山路,02-26365436,20.0,6,4.5,26,"星期一: 10:00 – 12:00, 14:00 – 16:00; 星期二: 10:00 – 12:00, 14:00 – 16:00; 星期三: 10:00 – 12:00, 14:00 – 16:00; 星期四: 10:00 – 12:00, 14:00 – 16:00; 星期五: 10:00 – 12:00, 14:00 – 16:00; 星期六: 休息; 星期日: 休息",121.5382887,25.2268162,https://maps.google.com/?cid=5000074026644814138,,ChIJ9c7A2FGzQjQROjnS8NXUY0U,2025-11-10 13:41:48
sh0024,新北市八里區公立動物之家,OPERATIONAL,新北市八里區長坑里6鄰長坑道路36號,02-26194428,20.0,6,3.4,89,"星期一: 10:00 – 12:00, 14:00 – 16:00; 星期二: 10:00 – 12:00, 14:00 – 16:00; 星期三: 10:00 – 12:00, 14:00 – 16:00; 星期四: 10:00 – 12:00, 14:00 – 16:00; 星期五: 10:00 – 12:00, 14:00 – 16:00; 星期六: 休息; 星期日: 休息",121.3981716,25.0877004,https://maps.google.com/?cid=13592738327260614883,,ChIJ2y68Iy-kQjQR49A0wX0bo7w,2025-11-10 13:41:48
sh0025,新北市五股區公立動物之家,OPERATIONAL,新北市五股區外寮路9-9號,02-82925265,24.0,6,4.5,637,"星期一: 休息; 星期二: 10:00 – 12:00, 14:00 – 16:00; 星期三: 10:00 – 12:00, 14:00 – 16:00; 星期四: 10:00 – 12:00, 14:00 – 16:00; 星期五: 10:00 – 12:00, 14:00 – 16:00; 星期六: 10:00 – 12:00, 14:00 – 16:00; 星期日: 10:00 – 12:00, 14:00 – 16:00",121.4157993,25.0776139,https://maps.google.com/?cid=5310138030619464479,https://www.facebook.com/%E4%BA%94%E8%82%A1%E5%8B%95%E7%89%A9%E4%B9%8B%E5%AE%B6-%E5%85%8D%E8%B2%BB%E7%8B%97%E7%8B%97%E8%B2%93%E8%B2%93%E8%AA%8D%E9%A4%8A%E5%AE%B6-139346232875234/,ChIJ8xocoT-mQjQRH5Ndj2dmsUk,2025-11-10 13:41:48
sh0026,新北市瑞芳區公立動物之家,OPERATIONAL,新北市瑞芳區靜安路四段,02-24063481,20.0,6,4.7,132,"星期一: 10:00 – 12:00, 14:00 – 16:00; 星期二: 10:00 – 12:00, 14:00 – 16:00; 星期三: 10:00 – 12:00, 14:00 – 16:00; 星期四: 10:00 – 12:00, 14:00 – 16:00; 星期五: 10:00 – 12:00, 14:00 – 16:00; 星期六: 休息; 星期日: 休息",121.7993488,25.0760623,https://maps.google.com/?cid=5134978145383273527,https://www.facebook.com/%E7%91%9E%E8%8A%B3%E5%8B%95%E7%89%A9%E4%B9%8B%E5%AE%B6-883469018372948/,ChIJ8_9rgrLaDRQRN9T2vGobQ0c,2025-11-10 13:41:48
sh0027,新北市淡水區公立動物之家,OPERATIONAL,新北市淡水區下圭柔山91-3號,02-26267558,20.0,6,4.0,153,"星期一: 10:00 – 12:00, 14:00 – 16:00; 星期二: 10:00 – 12:00, 14:00 – 16:00; 星期三: 10:00 – 12:00, 14:00 – 16:00; 星期四: 10:00 – 12:00, 14:00 – 16:00; 星期五: 10:00 – 12:00, 14:00 – 16:00; 星期六: 休息; 星期日: 休息",121.4303811,25.2099601,https://maps.google.com/?cid=14242444891199542228,,ChIJ2VX4-pa6QjQR1JMGOStUp8U,2025-11-10 13:41:48
sh0028,新北市中和區公立動物之家,OPERATIONAL,新北市中和區興南路三段100號,02-86685547,24.0,6,4.6,785,"星期一: 休息; 星期二: 10:00 – 12:00, 14:00 – 16:00; 星期三: 10:00 – 12:00, 14:00 – 16:00; 星期四: 10:00 – 12:00, 14:00 – 16:00; 星期五: 10:00 – 12:00, 14:00 – 16:00; 星期六: 10:00 – 12:00, 14:00 – 16:00; 星期日: 10:00 – 12:00, 14:00 – 16:00",121.4887501,24.9756181,https://maps.google.com/?cid=4524429059208032084,https://www.facebook.com/%E4%B8%AD%E5%92%8C%E5%8D%80%E5%85%AC%E7%AB%8B%E5%8B%95%E7%89%A9%E4%B9%8B%E5%AE%B6-670764526426853/,ChIJt4Hi0vUCaDQRVK-MBUIAyj4,2025-11-10 13:41:48
sh0029,新北市新店區公立動物之家,OPERATIONAL,新北市新店區安泰路235號,02-22159462,20.0,6,4.5,203,"星期一: 休息; 星期二: 10:00 – 12:00, 14:00 – 16:00; 星期三: 10:00 – 12:00, 14:00 – 16:00; 星期四: 10:00 – 12:00, 14:00 – 16:00; 星期五: 10:00 – 12:00, 14:00 – 16:00; 星期六: 10:00 – 12:00, 14:00 – 16:00; 星期日: 休息",121.4908082,24.9271546,https://maps.google.com/?cid=3503802877156271454,https://www.facebook.com/xindian.animalsfamily,ChIJFbsM-XcDaDQRXiXkHycCoDA,2025-11-10 13:41:48
sh0030,新北市板橋區公立動物之家,OPERATIONAL,新北市板橋區板城路28-1號,02-89662158,24.0,6,4.4,1420,"星期一: 休息; 星期二: 10:00 – 12:00, 14:00 – 16:00; 星期三: 10:00 – 12:00, 14:00 – 16:00; 星期四: 10:00 – 12:00, 14:00 – 16:00; 星期五: 10:00 – 12:00, 14:00 – 16:00; 星期六: 10:00 – 12:00, 14:00 – 16:00; 星期日: 10:00 – 12:00, 14:00 – 16:00",121.4480033,24.9954611,https://maps.google.com/?cid=7875549426854491478,https://www.facebook.com/NTPCBanqiao/,ChIJQWFqi7QCaDQRVnWxLnqSS20,2025-11-10 13:41:48
sh0031,基隆市寵物銀行,OPERATIONAL,基隆市七堵區大華三路45-12號,02-24560148,25.0,6,4.3,169,"星期一: 休息; 星期二: 10:00 – 12:00, 13:00 – 16:00; 星期三: 10:00 – 12:00, 13:00 – 16:00; 星期四: 10:00 – 12:00, 13:00 – 16:00; 星期五: 10:00 – 12:00, 13:00 – 16:00; 星期六: 10:00 – 12:00, 13:00 – 16:00; 星期日: 休息",121.6753246,25.1273599,https://maps.google.com/?cid=18338470418903331631,https://asms.coa.gov.tw/Amlapp/App/AnnounceMent.aspx?PageType=Adopt&Unit=QAAAG,ChIJGVlW839SXTQRL_O9Qq9Vf_4,2025-11-10 13:41:48
sh0032,臺北市動物之家,OPERATIONAL,臺北市內湖區潭美街852號,02-87913254 、02-87913255,30.0,6,4.3,1097,"星期一: 休息; 星期二: 10:00 – 12:30, 13:30 – 16:00; 星期三: 10:00 – 12:30, 13:30 – 16:00; 星期四: 10:00 – 12:30, 13:30 – 16:00; 星期五: 10:00 – 12:30, 13:30 – 16:00; 星期六: 10:00 – 12:30, 13:30 – 16:00; 星期日: 10:00 – 12:30, 13:30 – 16:00",121.603348,25.0604342,https://maps.google.com/?cid=6607676689702830895,http://www.tcapo.gov.taipei/np.asp?ctNode=69749&mp=105033,ChIJl7Ebe6GsQjQRL8NduPAus1s,2025-11-10 13:41:48
sh0033,彰化縣流浪狗中途之家,OPERATIONAL,彰化縣員林鎮大峰里阿寶巷426號,04-8590638,20.0,6,4.1,366,"星期一: 10:00 – 12:00, 14:00 – 16:00; 星期二: 10:00 – 12:00, 14:00 – 16:00; 星期三: 10:00 – 12:00, 14:00 – 16:00; 星期四: 10:00 – 12:00, 14:00 – 16:00; 星期五: 休息; 星期六: 10:00 – 12:00, 14:00 – 16:00; 星期日: 休息",120.6197311,23.9692434,https://maps.google.com/?cid=7216655265600927386,https://www.facebook.com/DogcatFan?mibextid=ZbWKwL,ChIJ1fBoINcwaTQRmnaYhLq1JmQ,2025-11-10 13:41:48
