縣市,行政區,店名,地址,電話,Google 評分,評分人數,營業狀態,營業時間,每週營業時數,最新評論日期,GMap 網址
台北市,106台灣臺北市大安區基隆路二段162-4號,唯依寵物美學沙龍 Wei E pet salon,106台灣臺北市大安區基隆路二段162-4號,0966 413 330,5,129,營業中,星期一: 休息; 星期二: 11:00 – 19:00; 星期三: 11:00 – 19:00; 星期四: 11:00 – 19:00; 星期五: 11:00 – 19:00; 星期六: 11:00 – 19:00; 星期日: 11:00 – 19:00,48,2025/6/23,https://maps.google.com/?cid=17796765833176833955
台北市,100台灣臺北市中正區金山北路1號13樓,喵吉拉渡假村｜頂級純貓旅館｜純貓美容｜韓國寵物選品｜到府寵物管家,100台灣臺北市中正區金山北路1號13樓,02 6605 0402,5,89,營業中,星期一: 12:00 – 19:00; 星期二: 12:00 – 19:00; 星期三: 12:00 – 19:00; 星期四: 12:00 – 19:00; 星期五: 12:00 – 19:00; 星期六: 12:00 – 19:00; 星期日: 12:00 – 19:00,49,2025/10/22,https://maps.google.com/?cid=10427661709689682902
台北市,105台灣臺北市松山區民權東路三段156號,星沐精緻寵物美容-住宿安親|一對一|純手吹無烘箱|皮毛調理SPA|預約|台北松山區|松山機場,105台灣臺北市松山區民權東路三段156號,02 2712 7709,5,75,營業中,星期一: 11:00 – 20:00; 星期二: 11:00 – 20:00; 星期三: 休息; 星期四: 11:00 – 20:00; 星期五: 11:00 – 20:00; 星期六: 11:00 – 20:00; 星期日: 11:00 – 20:00,54,2025/8/18,https://maps.google.com/?cid=5780590533191543535
台北市,10491台灣臺北市中山區林森北路643號,哈利寵物精緻美容,10491台灣臺北市中山區林森北路643號,02 2598 1861,4.8,84,營業中,星期一: 11:00 – 21:00; 星期二: 11:00 – 21:00; 星期三: 11:00 – 21:00; 星期四: 休息; 星期五: 11:00 – 21:00; 星期六: 11:00 – 21:00; 星期日: 11:00 – 21:00,60,2025/10/13,https://maps.google.com/?cid=17210863472955395018
台北市,108台灣臺北市萬華區洛陽街23號,溫家寵物美容,108台灣臺北市萬華區洛陽街23號,0927 046 918,5,103,營業中,星期一: 11:00 – 20:00; 星期二: 休息; 星期三: 11:00 – 20:00; 星期四: 11:00 – 20:00; 星期五: 11:00 – 20:00; 星期六: 11:00 – 20:00; 星期日: 11:00 – 20:00,54,2025/10/25,https://maps.google.com/?cid=9803442564916249972
台北市,103台灣臺北市大同區重慶北路三段75號,洗寶貝寵物美容 아기 애완동물을 씻겨주세요,103台灣臺北市大同區重慶北路三段75號,02 2599 4282,4.9,155,營業中,星期一: 10:00 – 21:00; 星期二: 10:00 – 21:00; 星期三: 10:00 – 21:00; 星期四: 10:00 – 21:00; 星期五: 10:00 – 21:00; 星期六: 10:00 – 20:00; 星期日: 休息,65,2025/10/2,https://maps.google.com/?cid=9428065876672261410
台北市,108台灣臺北市萬華區成都路67號6樓601室,型男爸爸到府寵物美容(非實體店面，僅提供到府服務),108台灣臺北市萬華區成都路67號6樓601室,0987 300 197,4.8,56,營業中,星期一: 10:00 – 20:00; 星期二: 10:00 – 20:00; 星期三: 10:00 – 20:00; 星期四: 10:00 – 20:00; 星期五: 10:00 – 20:00; 星期六: 10:00 – 20:00; 星期日: 10:00 – 20:00,70,2025/4/22,https://maps.google.com/?cid=815413785045253570
台北市,106台灣臺北市大安區信義路三段109之1號1、2樓,MISO PET SALON米搜寵物 ╴台北 大安 信義 寵物美容 推薦｜寵物皮毛護理｜寵物SPA｜寵物玩具推薦｜寵物用品｜寵物美容一對一｜寵物洗澡,106台灣臺北市大安區信義路三段109之1號1、2樓,02 2704 8448,4.8,42,營業中,星期一: 休息; 星期二: 12:00 – 17:00; 星期三: 11:00 – 19:00; 星期四: 11:00 – 19:00; 星期五: 11:00 – 19:00; 星期六: 11:00 – 19:00; 星期日: 11:00 – 19:00,45,2025/6/13,https://maps.google.com/?cid=5319611896241095272
台北市,10651台灣臺北市大安區永康街8巷10號一樓,巧寓elf loft,10651台灣臺北市大安區永康街8巷10號一樓,02 2343 5766,5,22,營業中,星期一: 12:00 – 21:00; 星期二: 12:00 – 21:00; 星期三: 12:00 – 16:00; 星期四: 12:00 – 21:00; 星期五: 12:00 – 21:00; 星期六: 12:00 – 21:00; 星期日: 12:00 – 21:00,58,2025/2/14,https://maps.google.com/?cid=13372589311288568124
台北市,,PA寵物美容、一對一預約制、大安區寵物美容、信義區寵物美容、中正區寵物美容、精緻造型洗護,100台灣台北市中正区杭州南路一段35-2號,02 2351 3922,4.9,77,營業中,星期一: 10:00 – 20:00; 星期二: 10:00 – 20:00; 星期三: 休息; 星期四: 10:00 – 20:00; 星期五: 10:00 – 20:00; 星期六: 10:00 – 20:00; 星期日: 10:00 – 20:00,60,2025/9/30,https://maps.google.com/?cid=13453270727203075599
台北市,110台灣臺北市信義區信義路四段415號,阿比麻麻毛寵工作室/到府寵物保姆/到府美容,110台灣臺北市信義區信義路四段415號 14號1,,4.9,36,營業中,星期一: 08:30 – 21:00; 星期二: 08:30 – 21:00; 星期三: 08:30 – 21:00; 星期四: 08:30 – 21:00; 星期五: 08:30 – 21:00; 星期六: 08:30 – 21:00; 星期日: 08:30 – 21:00,87.5,2025/10/12,https://maps.google.com/?cid=7422316656162732954
台北市,106台灣臺北市大安區信義路四段53巷15號,金寶貝寵物美容,106台灣臺北市大安區信義路四段53巷15號,0989 175 667,4.8,68,營業中,星期一: 11:00 – 19:00; 星期二: 休息; 星期三: 11:00 – 19:00; 星期四: 11:00 – 19:00; 星期五: 11:00 – 19:00; 星期六: 11:00 – 19:00; 星期日: 11:00 – 19:00,48,2025/6/8,https://maps.google.com/?cid=5162707175484332880
台北市,10491台灣臺北市中山區中山北路三段55巷22號,D&Y 寵物美容時尚旅店,10491台灣臺北市中山區中山北路三段55巷22號,02 2592 3252,4.7,298,營業中,星期一: 08:00 – 22:00; 星期二: 08:00 – 22:00; 星期三: 08:00 – 22:00; 星期四: 08:00 – 22:00; 星期五: 08:00 – 22:00; 星期六: 08:00 – 22:00; 星期日: 08:00 – 22:00,98,2025/8/5,https://maps.google.com/?cid=5757703482515070858
台北市,105台灣臺北市松山區民生東路五段192號之五,寶寶寵物美容工作室,105台灣臺北市松山區民生東路五段192號之五,02 2746 0886,4.9,145,營業中,星期一: 12:00 – 19:00; 星期二: 12:00 – 19:00; 星期三: 12:00 – 19:00; 星期四: 12:00 – 19:00; 星期五: 12:00 – 19:00; 星期六: 12:00 – 19:00; 星期日: 休息,42,2025/10/15,https://maps.google.com/?cid=6620261807874512895
台北市,110台灣臺北市信義區松山路333號1F,毛寵沐 Mao Pet Salon｜信義永春｜寵物美容｜皮毛調理,110台灣臺北市信義區松山路333號1F,0903 030 372,5,54,營業中,星期一: 休息; 星期二: 10:30 – 19:30; 星期三: 10:30 – 19:30; 星期四: 10:30 – 19:30; 星期五: 10:30 – 19:30; 星期六: 10:30 – 19:30; 星期日: 休息,45,2025/5/31,https://maps.google.com/?cid=11809933675131973823
台北市,108030台灣臺北市萬華區西藏路144號,勾勾沐寵物SPA/寵物美容/萬華寵物美容/長湯spa,108030台灣臺北市萬華區西藏路144號,02 2302 1814,4.9,93,營業中,星期一: 10:00 – 18:30; 星期二: 10:00 – 18:30; 星期三: 休息; 星期四: 10:00 – 18:30; 星期五: 10:00 – 18:30; 星期六: 10:00 – 18:30; 星期日: 10:00 – 18:30,51,2025/9/8,https://maps.google.com/?cid=11343880106598985579
台北市,105台灣臺北市松山區健康路260號,CHIEN BON BON 寵物洗澎澎,105台灣臺北市松山區健康路260號,02 2760 7766,4.7,156,營業中,星期一: 10:30 – 19:00; 星期二: 10:30 – 19:00; 星期三: 10:30 – 19:00; 星期四: 10:30 – 19:00; 星期五: 10:30 – 19:00; 星期六: 10:30 – 19:00; 星期日: 10:30 – 19:00,59.5,2025/8/5,https://maps.google.com/?cid=3673518518013444006
台北市,106台灣臺北市大安區仁愛路四段345巷4弄45號,【小捲尾寵物精品美容SPA＆CAFE】仁愛店,106台灣臺北市大安區仁愛路四段345巷4弄45號,02 2775 2749,4.9,42,營業中,星期一: 10:30 – 19:30; 星期二: 10:30 – 19:30; 星期三: 10:30 – 19:30; 星期四: 10:30 – 19:30; 星期五: 10:30 – 19:30; 星期六: 10:30 – 19:30; 星期日: 10:30 – 19:30,63,2025/8/21,https://maps.google.com/?cid=1849145419232618521
台北市,105台灣臺北市松山區八德路二段429號2樓,Very旺寵物旅館 VW pet hotel,105台灣臺北市松山區八德路二段429號2樓,02 2741 2777,4.4,314,營業中,星期一: 08:30 – 20:00; 星期二: 08:30 – 20:00; 星期三: 08:30 – 20:00; 星期四: 08:30 – 20:00; 星期五: 08:30 – 20:00; 星期六: 08:30 – 20:00; 星期日: 08:30 – 20:00,80.5,2024/12/11,https://maps.google.com/?cid=3049110535372782582
台北市,106台灣臺北市大安區復興南路一段79巷4弄12號2樓,犬山寨寵物美容,106台灣臺北市大安區復興南路一段79巷4弄12號2樓,02 2773 9123,4.2,25,營業中,星期一: 12:00 – 21:00; 星期二: 12:00 – 21:00; 星期三: 休息; 星期四: 12:00 – 21:00; 星期五: 12:00 – 21:00; 星期六: 12:00 – 21:00; 星期日: 12:00 – 21:00,54,2025/3/2,https://maps.google.com/?cid=8170980307467624209
台北市,105台灣臺北市松山區延壽街157號,我們好好｜台北松山區寵物美容狗狗沙龍推薦｜民生社區狗狗洗澡｜剪毛按摩spa,105台灣臺北市松山區延壽街157號,02 2766 0986,4.5,125,營業中,星期一: 休息; 星期二: 10:00 – 19:30; 星期三: 10:00 – 19:30; 星期四: 10:00 – 19:30; 星期五: 09:30 – 19:30; 星期六: 09:30 – 20:00; 星期日: 09:30 – 20:00,59.5,2025/10/5,https://maps.google.com/?cid=9772786946866743241
台北市,,寵物華爾滋 －台北大安區 (寵物按摩，寵物安親，寵物住宿，寵物美容，老犬照護) 寵物皮毛護理,106台灣台北市大安区安和路二段41號1樓,02 2711 7248,5,81,營業中,星期一: 休息; 星期二: 10:00 – 19:30; 星期三: 10:00 – 19:30; 星期四: 10:00 – 18:30; 星期五: 10:00 – 19:30; 星期六: 10:00 – 19:30; 星期日: 10:00 – 19:30,56,2025/10/15,https://maps.google.com/?cid=8285657070343146658
台北市,103台灣臺北市大同區承德路一段83號1樓,夢露寵物美容Line:@724xiiux請線上預約詢問,103台灣臺北市大同區承德路一段83號1樓,02 2559 6369,5,36,營業中,星期一: 休息; 星期二: 11:00 – 19:00; 星期三: 11:00 – 19:00; 星期四: 11:00 – 19:00; 星期五: 11:00 – 19:00; 星期六: 11:00 – 19:00; 星期日: 11:00 – 19:00,48,2021/6/5,https://maps.google.com/?cid=14097808762584766260
台北市,10460台灣臺北市中山區林森北路629巷1號,Go澡堂寵物美容,10460台灣臺北市中山區林森北路629巷1號,02 2599 7658,4.3,62,營業中,星期一: 11:00 – 20:00; 星期二: 11:00 – 20:00; 星期三: 11:00 – 20:00; 星期四: 11:00 – 20:00; 星期五: 11:00 – 20:00; 星期六: 11:00 – 20:00; 星期日: 休息,54,2025/5/17,https://maps.google.com/?cid=18366784945431716041
台北市,110台灣臺北市信義區光復南路419巷49號B1,鬆。sun spa 寵物美容（附設寵物餐廳）加line詢問最快唷,110台灣臺北市信義區光復南路419巷49號B1,0936 223 235,4.9,30,營業中,星期一: 休息; 星期二: 00:00 – 20:00; 星期三: 12:00 – 20:00; 星期四: 12:00 – 20:00; 星期五: 12:00 – 20:00; 星期六: 11:30 – 20:00; 星期日: 休息,52.5,2024/2/3,https://maps.google.com/?cid=17308020345063040394
台北市,17四維路大安區臺北市台灣,O‘BABY寵物生活館,"號1樓, No. 17四維路大安區臺北市台灣 106",02 2700 7958,5,35,營業中,星期一: 休息; 星期二: 10:00 – 20:00; 星期三: 10:00 – 20:00; 星期四: 10:00 – 20:00; 星期五: 10:00 – 20:00; 星期六: 10:00 – 20:00; 星期日: 休息,50,2025/2/16,https://maps.google.com/?cid=4221817257206909598
台北市,106台灣臺北市大安區潮州街58號,Jelly Pet Spa潔莉寵物美容,106台灣臺北市大安區潮州街58號,02 2341 8858,4.9,77,營業中,星期一: 10:00 – 19:00; 星期二: 10:00 – 19:00; 星期三: 10:00 – 19:00; 星期四: 10:00 – 19:00; 星期五: 10:00 – 19:00; 星期六: 10:00 – 19:00; 星期日: 休息,54,2025/8/26,https://maps.google.com/?cid=16456175453713893250
台北市,104台灣臺北市中山區林森北路487號1樓206室,M.V PET STUDIO,104台灣臺北市中山區林森北路487號1樓206室,02 2563 2543,5,25,營業中,星期一: 休息; 星期二: 休息; 星期三: 11:00 – 20:00; 星期四: 11:00 – 20:00; 星期五: 11:00 – 20:00; 星期六: 11:00 – 20:00; 星期日: 11:00 – 20:00,45,2024/9/12,https://maps.google.com/?cid=6122037163296833122
台北市,104台灣臺北市中山區中原街103-4號,Miss & Dog 寵物美容/寵物造型沙龍,104台灣臺北市中山區中原街103-4號,0917 255 502,5,15,營業中,星期一: 01:00 – 18:00; 星期二: 10:00 – 18:00; 星期三: 10:00 – 18:00; 星期四: 10:00 – 18:00; 星期五: 10:00 – 18:00; 星期六: 10:00 – 18:00; 星期日: 休息,57,2025/7/6,https://maps.google.com/?cid=14145269176003428399
台北市,110台灣臺北市信義區仁愛路四段452巷12號,可狗美,110台灣臺北市信義區仁愛路四段452巷12號,02 8780 0685,5,45,營業中,星期一: 休息; 星期二: 09:00 – 19:00; 星期三: 09:00 – 19:00; 星期四: 09:00 – 19:00; 星期五: 09:00 – 19:00; 星期六: 09:00 – 19:00; 星期日: 09:00 – 19:00,60,2025/9/4,https://maps.google.com/?cid=12432429597371906013
台北市,100台灣臺北市中正區濟南路二段24號,雪堡寵物美容,100台灣臺北市中正區濟南路二段24號,02 2397 3445,4.7,42,營業中,星期一: 09:00 – 22:00; 星期二: 09:00 – 22:00; 星期三: 09:00 – 22:00; 星期四: 09:00 – 22:00; 星期五: 09:00 – 22:00; 星期六: 09:00 – 22:00; 星期日: 休息,78,2025/8/16,https://maps.google.com/?cid=9417280937082863161
台北市,103台灣臺北市大同區民權西路300-3號,毛空間Pet Space精緻寵物美容-大同區(寵物美容，大稲程寵物店，狗狗洗澡，大稲程寵物美容，精緻寵物美容，寵物SPA，貓咪洗澡),103台灣臺北市大同區民權西路300-3號,0983 524 299,4.9,39,營業中,星期一: 休息; 星期二: 11:00 – 20:00; 星期三: 11:00 – 20:00; 星期四: 11:00 – 20:00; 星期五: 11:00 – 20:00; 星期六: 11:00 – 20:00; 星期日: 11:00 – 20:00,54,2025/10/5,https://maps.google.com/?cid=12459306199896996667
台北市,110台灣臺北市信義區和平東路三段453號1樓,D&C寵物職人,110台灣臺北市信義區和平東路三段453號1樓,02 8732 4682,5,40,營業中,星期一: 10:00 – 19:00; 星期二: 11:00 – 20:00; 星期三: 11:00 – 20:00; 星期四: 11:00 – 20:00; 星期五: 11:00 – 20:00; 星期六: 10:00 – 19:00; 星期日: 10:00 – 19:00,63,2025/7/28,https://maps.google.com/?cid=11870534572580870376
台北市,105台灣臺北市松山區光復北路60巷13號,狗使寵物美容,105台灣臺北市松山區光復北路60巷13號,02 2577 8180,4.8,69,營業中,星期一: 11:00 – 20:00; 星期二: 11:00 – 20:00; 星期三: 休息; 星期四: 11:00 – 20:00; 星期五: 11:00 – 20:00; 星期六: 11:00 – 20:00; 星期日: 休息,45,2025/10/11,https://maps.google.com/?cid=14547495927715192743
台北市,10491台灣臺北市中山區新生北路二段60巷16號4樓,就甘心Ponpon寵物旅館,10491台灣臺北市中山區新生北路二段60巷16號4樓,02 2568 2751,5,386,營業中,星期一: 11:00 – 19:00; 星期二: 11:00 – 19:00; 星期三: 11:00 – 19:00; 星期四: 11:00 – 19:00; 星期五: 11:00 – 19:00; 星期六: 11:00 – 19:00; 星期日: 11:00 – 19:00,56,2025/7/18,https://maps.google.com/?cid=4726316148170392823
台北市,10491台灣臺北市中山區長安東路二段232號,毛旅 寵物旅館,10491台灣臺北市中山區長安東路二段232號,02 2721 3091,5,15,營業中,星期一: 10:30 – 20:00; 星期二: 10:30 – 20:00; 星期三: 10:30 – 20:00; 星期四: 10:30 – 20:00; 星期五: 10:30 – 20:00; 星期六: 10:30 – 20:00; 星期日: 10:30 – 20:00,66.5,2023/12/31,https://maps.google.com/?cid=14992919635965508731
台北市,106台灣臺北市大安區建國南路二段25巷1號,東森寵物 大安建國南店,106台灣臺北市大安區建國南路二段25巷1號,02 2700 6598,4.7,311,營業中,星期一: 10:00 – 21:00; 星期二: 10:00 – 21:00; 星期三: 10:00 – 21:00; 星期四: 10:00 – 21:00; 星期五: 10:00 – 21:00; 星期六: 10:00 – 21:00; 星期日: 10:00 – 21:00,77,2025/6/8,https://maps.google.com/?cid=4272468097655244527
台北市,10491台灣臺北市中山區新生北路三段69號,Pet-Shion玩美小獸沙龍(預約優先制),10491台灣臺北市中山區新生北路三段69號,0902 267 831,5,24,營業中,星期一: 休息; 星期二: 休息; 星期三: 11:00 – 21:00; 星期四: 11:00 – 21:00; 星期五: 11:00 – 21:00; 星期六: 11:00 – 21:00; 星期日: 11:00 – 21:00,50,2025/6/10,https://maps.google.com/?cid=4321289476891351910
台北市,110台灣臺北市信義區永吉路235號,毛星級寵物美容沙龍 StarPets信義永吉店,110台灣臺北市信義區永吉路235號,02 2756 6616,5,85,營業中,星期一: 11:00 – 20:00; 星期二: 11:00 – 20:00; 星期三: 11:00 – 20:00; 星期四: 11:00 – 20:00; 星期五: 11:00 – 20:00; 星期六: 11:00 – 20:00; 星期日: 11:00 – 20:00,63,2025/8/10,https://maps.google.com/?cid=966261399403532351
台北市,104078台灣臺北市中山區錦州街417號,寵物公園(中山錦州店) - 專業寵物用品&寵物美容,104078台灣臺北市中山區錦州街417號,02 2503 2626,5,526,營業中,星期一: 11:00 – 22:00; 星期二: 11:00 – 22:00; 星期三: 11:00 – 22:00; 星期四: 11:00 – 22:00; 星期五: 11:00 – 22:00; 星期六: 11:00 – 22:00; 星期日: 11:00 – 22:00,77,2025/10/23,https://maps.google.com/?cid=10272393952114458648
台北市,110台灣臺北市信義區永吉路380號1樓,逗貓坊·純貓店·貓旅館｜無麻醉安撫兇貓專科貓美容｜貓住宿｜貓洗澡｜貓剃毛｜貓精品｜台北,110台灣臺北市信義區永吉路380號1樓,02 2768 6348,4.9,216,營業中,星期一: 13:30 – 21:30; 星期二: 13:30 – 21:30; 星期三: 13:30 – 21:30; 星期四: 13:30 – 21:30; 星期五: 13:30 – 21:30; 星期六: 13:30 – 21:30; 星期日: 休息,48,2025/10/18,https://maps.google.com/?cid=12148492782643265397
台北市,105台灣臺北市松山區民權東路三段121號,Hello寵物美容,105台灣臺北市松山區民權東路三段121號,02 2547 1180,4.8,27,營業中,星期一: 11:30 – 19:00; 星期二: 休息; 星期三: 休息; 星期四: 11:30 – 19:00; 星期五: 11:30 – 19:00; 星期六: 11:30 – 19:00; 星期日: 11:30 – 19:00,37.5,2024/6/7,https://maps.google.com/?cid=5992782048987202721
台北市,110台灣臺北市信義區中坡南路60號,安怡喵。貓咪美容,110台灣臺北市信義區中坡南路60號,02 2783 6690,4.9,312,營業中,星期一: 10:00 – 19:00; 星期二: 休息; 星期三: 10:00 – 19:00; 星期四: 10:00 – 19:00; 星期五: 10:00 – 19:00; 星期六: 10:00 – 19:00; 星期日: 10:00 – 19:00,54,2025/9/28,https://maps.google.com/?cid=18360716805643779189
台北市,10491台灣臺北市中山區中山北路二段59巷3弄7號中安公園旁,米香尼寵物美容,10491台灣臺北市中山區中山北路二段59巷3弄7號中安公園旁,02 2581 2812,5,44,營業中,星期一: 休息; 星期二: 11:00 – 19:00; 星期三: 11:00 – 19:00; 星期四: 11:00 – 19:00; 星期五: 11:00 – 19:00; 星期六: 11:00 – 20:00; 星期日: 休息,41,2025/10/19,https://maps.google.com/?cid=17319399674017769562
台北市,114台灣臺北市內湖區成功路四段328號,洗澡吧！Let's spa 寵物澡堂,114台灣臺北市內湖區成功路四段328號,02 2793 7288,4.2,176,營業中,星期一: 休息; 星期二: 10:00 – 20:00; 星期三: 10:00 – 20:00; 星期四: 10:00 – 20:00; 星期五: 10:00 – 20:00; 星期六: 10:00 – 20:00; 星期日: 10:00 – 20:00,60,2025/5/31,https://maps.google.com/?cid=17960550129633149376
台北市,106台灣臺北市大安區潮州街143號一樓,寵愛之綴寵物美容工作坊,106台灣臺北市大安區潮州街143號一樓,02 3322 3272,5,9,營業中,星期一: 09:00 – 20:00; 星期二: 09:00 – 20:00; 星期三: 09:00 – 20:00; 星期四: 09:00 – 20:00; 星期五: 09:00 – 20:00; 星期六: 休息; 星期日: 09:00 – 20:00,66,2025/8/22,https://maps.google.com/?cid=273793368616553761
台北市,110台灣臺北市信義區光復南路417之4號,搖擺狗寵物美容住宿,110台灣臺北市信義區光復南路417之4號,02 2345 3383,5,17,營業中,星期一: 11:00 – 18:30; 星期二: 休息; 星期三: 11:00 – 20:00; 星期四: 11:00 – 20:00; 星期五: 11:00 – 20:00; 星期六: 11:00 – 20:00; 星期日: 11:00 – 20:00,52.5,2025/5/9,https://maps.google.com/?cid=2355466369017002393
新北市,10491台灣臺北市中山區遼寧街45巷36號,毛日子寵物美容精品,10491台灣臺北市中山區遼寧街45巷36號,02 2778 3139,4.9,289,營業中,星期一: 10:00 – 20:00; 星期二: 10:00 – 20:00; 星期三: 10:00 – 20:00; 星期四: 10:00 – 20:00; 星期五: 10:00 – 20:00; 星期六: 10:30 – 20:00; 星期日: 10:30 – 20:00,69,2025/8/23,https://maps.google.com/?cid=212793793014893624
新北市,10492台灣臺北市中山區長安東路二段220號,PetVida 薇達寵物精品沙龍 펫비다,10492台灣臺北市中山區長安東路二段220號,02 2777 3330,4.9,493,營業中,星期一: 10:30 – 19:00; 星期二: 10:30 – 19:00; 星期三: 10:30 – 19:00; 星期四: 10:30 – 19:00; 星期五: 10:30 – 19:00; 星期六: 10:30 – 19:00; 星期日: 10:30 – 19:00,59.5,2025/9/22,https://maps.google.com/?cid=3257189568410149940
