name,license,license_date,vet,tel,address,service
人人動物醫院,開業執照：高縣獸醫開字第148號,發照日期：1998-06-26,負責獸醫師(佐)：謝宗翰,聯絡電話：07-7830515,地     址：高雄市大寮區鳳林三路827號,營業項目：動物診療
人人動物醫院,開業執照：花府農獸師字第3號,發照日期：1991-06-04,負責獸醫師(佐)：林明煌,聯絡電話：03-8355305,地     址：花蓮市林森路67號,營業項目：預防注射、 內外產科、血液生化檢查
人人動物醫院,開業執照：桃獸師開執字第103號,發照日期：2000-09-07,負責獸醫師(佐)：鄧福根,聯絡電話：03-4895900,地     址：桃園市龍潭區北龍路122號,營業項目：內外產科
人人動物醫院八德介壽院,開業執照：桃獸師開執字第283號,發照日期：2021-08-01,負責獸醫師(佐)：溫仁光,聯絡電話：03-3661314,地     址：桃園市八德區介壽路二段296號,營業項目：犬貓醫療
人人動物醫院大園分院,開業執照：桃獸師開執字第280號,發照日期：2020-11-16,負責獸醫師(佐)：鄭羽翔,聯絡電話：03-2757757,地     址：桃園市大園區華興路21號1樓,營業項目：小動物內外科診療
人人動物醫院平鎮分院,開業執照：桃獸師開執字第308號,發照日期：2023-12-01,負責獸醫師(佐)：黃鼎文,聯絡電話：03-4686811,地     址：桃園市平鎮區金陵路二段298號,營業項目：動物醫療
人人動物醫院埔心分院,開業執照：桃獸師開執字第195號,發照日期：2008-11-24,負責獸醫師(佐)：吳俊瑩,聯絡電話：03-4315700,地     址：桃園市楊梅區永美路274號,營業項目：內外產科
人人愛動物醫院,開業執照：北市獸業字第180號,發照日期：2001-01-05,負責獸醫師(佐)：駱有福,聯絡電話：25778182,地     址：臺北市延吉街四十六之三號一樓,營業項目：內外產科診療
人仁動物醫院,開業執照：屏獸開字第73號,發照日期：2005-07-01,負責獸醫師(佐)：蘇豐志,聯絡電話：08-7337733,地     址：屏東市公園西路28號,營業項目：動物疾病診療
人愛動物醫院,開業執照：南市獸開字第68號,發照日期：1996-10-11,負責獸醫師(佐)：許嘉展,聯絡電話：06-2692028,地     址：臺南市崇學路155號,營業項目：內外產科、骨科
人愛動物醫院,開業執照：中市獸醫開字第105022號,發照日期：2017-01-18,負責獸醫師(佐)：李文元,聯絡電話：04-23957656,地     址：臺中市太平區中山路四段223號,營業項目：一般內、外科
人愛動物醫院,開業執照：高市建獸醫字第64號,發照日期：1990-01-03,負責獸醫師(佐)：劉隆揚,聯絡電話：07-2371276,地     址：高雄市新興區六合一路28、30號,營業項目：動物診療、動物住院
人愛動物醫院,開業執照：彰府農畜師字第29號,發照日期：,負責獸醫師(佐)：周師全,聯絡電話：04-7762818,地     址：彰化縣鹿港鎮中山路59號,營業項目：
力晨動物醫院,開業執照：南市獸開字第135號,發照日期：,負責獸醫師(佐)：郭力瑋,聯絡電話：06-3316670,地     址：臺南市東區裕忠路27號,營業項目：內科、外科、產科、眼科、牙科、慢性病及復健科
十銓動物醫院,開業執照：高市獸師開字第242號,發照日期：2009-05-26,負責獸醫師(佐)：金昇輝,聯絡電話：0968597663,地     址：高雄市楠梓區右昌街787號,營業項目：動物診療、動物住院
三三動物診所,開業執照：中市獸醫開字第105042號,發照日期：2017-01-24,負責獸醫師(佐)：陳榮凱,聯絡電話：04-26656115,地     址：臺中市梧棲區大庄里民和路一段46號,營業項目：動物診療
三木乳牛專科診所,開業執照：屏獸開字第139號,發照日期：2022-02-23,負責獸醫師(佐)：黃漢柏,聯絡電話：0933543494,地     址：屏東縣屏東市復興南路一段780巷19號,營業項目：草食獸及牧場內犬貓醫療
三合動物醫院,開業執照：基市獸開字第36號,發照日期：2021-02-02,負責獸醫師(佐)：陳敏,聯絡電話：02-24274568,地     址：基隆市仁愛區南榮路353號,營業項目：內科、皮膚科
三多花花動物醫院,開業執照：高市獸師開字第387號,發照日期：2023-09-20,負責獸醫師(佐)：沈香君,聯絡電話：07-5352988,地     址：高雄市前鎮區三多二路477號,營業項目：動物診療
三和台大動物醫院,開業執照：高市獸師開字第278號,發照日期：2012-12-14,負責獸醫師(佐)：梁明宗,聯絡電話：07-3383828,地     址：高雄市苓雅區光華一路23號,營業項目：各種骨科及外科手術、內科、皮膚科、眼科、牙科
三和動物醫院,開業執照：北府畜醫業字第155號,發照日期：1995-09-08,負責獸醫師(佐)：陳錦榮,聯絡電話：02-22803059,地     址：三重區三和路四段215巷13號,營業項目：內外產科、皮膚科
三信行家畜診所,開業執照：投府農畜師開字第14號,發照日期：1996-02-22,負責獸醫師(佐)：林智函,聯絡電話：049-2223638,地     址：南投市彰仁里中山街110號,營業項目：一般家畜診療
三峽奇緣動物醫院,開業執照：北縣獸醫業字第223號,發照日期：2007-01-31,負責獸醫師(佐)：曾伊徵,聯絡電話：26716119,地     址：新北市三峽區中園街126之23號1樓及126之22號1樓,營業項目：內科、外科、產科
三逢家畜醫院,開業執照：南縣獸師診開字第93號,發照日期：1996-07-12,負責獸醫師(佐)：林志聰,聯絡電話：06-6854100,地     址：台南市白河區蓮潭里北埔五十號,營業項目：內科、外科、產科
三崟動物診所,開業執照：雲診字第97號,發照日期：2016-10-24,負責獸醫師(佐)：林水榮,聯絡電話：,地     址：雲林縣東勢鄉富農北路55號,營業項目：一般動物疾病診療
三寶動物醫院,開業執照：宜府農畜字第1070146733號,發照日期：2018-10-02,負責獸醫師(佐)：吳中勇,聯絡電話：03-9567273,地     址：宜蘭縣五結鄉中正路一段156號,營業項目：內科、外科
上和動物醫院,開業執照：新北獸醫業字第311號,發照日期：2012-07-18,負責獸醫師(佐)：黃國維,聯絡電話：0956838122,地     址：新北市永和區福和路75號,營業項目：犬貓及非犬貓專業醫療
上弦動物醫院,開業執照：新北獸醫業字第439號,發照日期：2023-03-30,負責獸醫師(佐)：柯慶澤,聯絡電話：2609-0119,地     址：新北市林口區忠福路129號,營業項目：動物診療、一般內外科、急診
上品動物醫院,開業執照：新北獸醫業字第314號,發照日期：2012-10-11,負責獸醫師(佐)：陳梓逸,聯絡電話：22455852-3,地     址：新北市中和區中山路2段167號,營業項目：內外產科、一般診療
上哲動物醫院,開業執照：北縣獸醫業字第101號,發照日期：2022-12-07,負責獸醫師(佐)：王昌瑋,聯絡電話：02-26225750,地     址：新北市淡水區中正東路1段3巷2號,營業項目：內外產科
上哲動物醫院,開業執照：府建農字第58號,發照日期：1998-08-05,負責獸醫師(佐)：黃于哲,聯絡電話：05-2231500,地     址：嘉義市東區吳鳳北路259號,營業項目：小動物臨床診療
上恩動物醫院,開業執照：屏獸開字第90號,發照日期：2019-05-08,負責獸醫師(佐)：黃毓慧,聯絡電話：0987-830629,地     址：屏東縣屏東市博愛路275號,營業項目：小動物醫療
上海動物醫院,開業執照：府農漁開字第34號,發照日期：2013-07-24,負責獸醫師(佐)：蔡志文,聯絡電話：03-8341853,地     址：花蓮縣花蓮市上海街63號,營業項目：內科、外科、產科、皮膚科、預防注射、禽鳥賽鴿專科、健康檢查
上博動物醫院,開業執照：南縣獸師開字第39號,發照日期：1990-07-31,負責獸醫師(佐)：李偉基,聯絡電話：06-5903591,地     址：台南市新化區建國街7號,營業項目：家畜禽疾病診斷治療
上揚動物醫院,開業執照：南市獸開字第53號,發照日期：2002-03-21,負責獸醫師(佐)：石俊懿,聯絡電話：06-2247536,地     址：台南市民族路三段48號,營業項目：內科、產科、急診醫療科
上揚動物醫院,開業執照：高市建獸醫字第91號,發照日期：1993-01-04,負責獸醫師(佐)：蔡宗分,聯絡電話：07-3391010,地     址：高雄市苓雅區林森二路7之2號,營業項目：內外產科、骨科、皮膚科
上群動物醫院,開業執照：南市獸開字第33號,發照日期：,負責獸醫師(佐)：吳時徵,聯絡電話：06-2746648,地     址：臺南市東區東寧路318號,營業項目：內外產科、皮膚科、骨科
上群動物醫院,開業執照：北市獸業字第149號,發照日期：1990-08-31,負責獸醫師(佐)：洪文男,聯絡電話：02-27753007,地     址：臺北市大安區延吉街72之20號,營業項目：內、外、產科診療
上群動物醫院,開業執照：中市獸醫開字第105137號,發照日期：2017-04-18,負責獸醫師(佐)：廖景祺,聯絡電話：04-22307765,地     址：臺中市北區健行路76號,營業項目：內、外、產、皮膚科
上寶貝動物醫院,開業執照：宜府農畜字第1110000689號,發照日期：2022-01-18,負責獸醫師(佐)：曾清龍,聯絡電話：03-9517137,地     址：宜蘭縣羅東鎮純精路2段137號,營業項目：內科、外科及影像
丸三動物醫院,開業執照：嘉市字第34號,發照日期：1996-05-06,負責獸醫師(佐)：劉文禎,聯絡電話：05-2259429,地     址：嘉義市中山路234號,營業項目：內外骨科
丸三動物醫院-博東總院,開業執照：嘉市獸開字第86號,發照日期：2011-08-22,負責獸醫師(佐)：徐銘聰,聯絡電話：05-2710669,地     址：嘉義市博東路273號,營業項目：小動物醫療（含內外科、骨科）
凡賽爾動物醫院,開業執照：高縣獸醫開字第36號,發照日期：2000-11-07,負責獸醫師(佐)：陳正祐,聯絡電話：07-7613995,地     址：高雄市鳳山區五甲二路399號,營業項目：動物診療
凡賽爾賽鴿動物醫院,開業執照：中市獸醫開字第105220號,發照日期：2017-12-15,負責獸醫師(佐)：張能輝,聯絡電話：04-23121880,地     址：臺中市西屯區重慶路8號,營業項目：鳥類及小動物診療
凡賽爾賽鴿寵物鳥醫院,開業執照：北市獸業字第73號,發照日期：,負責獸醫師(佐)：李照陽,聯絡電話：02-25869933,地     址：臺北市大同區民族西路53號1樓,營業項目：內、外、產科診療
久源動物醫院,開業執照：雲診字第59號,發照日期：2001-12-14,負責獸醫師(佐)：楊博文,聯絡電話：0935709937,地     址：麥寮鄉中山路350號,營業項目：動物疾病診治
土庫家畜診所,開業執照：雲診字第42號,發照日期：1998-04-16,負責獸醫師(佐)：陳振欽,聯絡電話：05-6627916,地     址：土庫鎮石廟里復興路283巷2弄12號,營業項目：家畜、禽疾病預防治療
士林獸醫院,開業執照：北市獸業字第118號,發照日期：2008-07-08,負責獸醫師(佐)：彭家渝,聯絡電話：28822193,地     址：臺北市士林區中正路379號1樓,營業項目：內、外、產科
大千動物醫院,開業執照：竹縣字第27號,發照日期：2020-12-25,負責獸醫師(佐)：王文亮,聯絡電話：0922733712,地     址：新竹縣竹北市成功八路128號,營業項目：犬貓醫療服務
大川動物醫院,開業執照：府建農字第77號,發照日期：2007-12-27,負責獸醫師(佐)：蔡筱蓓,聯絡電話：052858609,地     址：嘉義市新民路627號,營業項目：動物診療
大心動物醫院,開業執照：投府農畜師開字第27號,發照日期：2018-11-08,負責獸醫師(佐)：陳嘉榮,聯絡電話：049-2353838,地     址：南投縣草屯鎮太平路1段486號,營業項目：小動物內外科診療
大毛小毛動物醫院,開業執照：高市獸師開字第323號,發照日期：2021-02-01,負責獸醫師(佐)：胡鈞翔,聯絡電話：07-7809102,地     址：高雄市三民區文濱路62號,營業項目：動物診療、動物住院
大北港動物醫院,開業執照：雲診字第73號,發照日期：2005-09-16,負責獸醫師(佐)：龔祈謀,聯絡電話：057731766,地     址：雲林縣北港鎮西勢里義民路41-5號,營業項目：動物疾病診治
大台中動物醫院,開業執照：彰府農防師開字第147號,發照日期：2017-03-01,負責獸醫師(佐)：陳清靜,聯絡電話：,地     址：彰化縣大村鄉加錫3巷5-28號,營業項目：動物疾病診療(內、外產科、骨科)
大台北動物醫院,開業執照：桃獸師開執字第138號,發照日期：2011-06-13,負責獸醫師(佐)：羅章榮,聯絡電話：3017158,地     址：桃園市桃園區永安路854號,營業項目：內外產科
大生動物醫院,開業執照：中市獸醫開字第105200號,發照日期：2017-11-22,負責獸醫師(佐)：陳忠明,聯絡電話：0928319589,地     址：臺中市大里區新興路137號,營業項目：內.外.骨.皮膚科
大禾動物醫院,開業執照：桃獸師開執字第172號,發照日期：2006-03-07,負責獸醫師(佐)：官千祐,聯絡電話：03-3625122,地     址：桃園市桃園區建國路218號1樓,營業項目：內外產科
大同動物醫院,開業執照：屏獸開字第27號,發照日期：2007-07-16,負責獸醫師(佐)：施法龍,聯絡電話：08-7339215,地     址：屏東縣屏東市民族路486號,營業項目：動物之內、外、產、骨科、皮膚科
大同動物醫院,開業執照：北市獸業字第85號,發照日期：1987-01-26,負責獸醫師(佐)：林隆立,聯絡電話：02-28959607,地     址：台北市中央北路二段112號,營業項目：內外產科診療
大安動物醫院,開業執照：北市獸業字第571號,發照日期：2020-09-21,負責獸醫師(佐)：吳嶽安,聯絡電話：02-23632020,地     址：臺北市中正區新生南路1段162號1樓,營業項目：內科、外科、急診
大安動物醫院,開業執照：中市獸醫開字第105004號,發照日期：2017-01-13,負責獸醫師(佐)：徐正懷,聯絡電話：04-22125619,地     址：臺中市東區十甲路230號,營業項目：家畜內外產科
大安動物醫院,開業執照：桃獸師開執字第93號,發照日期：1999-08-21,負責獸醫師(佐)：丘立信,聯絡電話：3335025,地     址：桃園市桃園區三民路一段24號,營業項目：內外產科
大安動物醫院公館分院,開業執照：北市獸業字第615號,發照日期：2024-02-29,負責獸醫師(佐)：屈小媛,聯絡電話：02-23686770,地     址：臺北市中正區羅斯福路4段162號1樓,營業項目：內科、外科、急診科
大佳動物醫院,開業執照：中市獸醫開字第105160號,發照日期：2017-06-13,負責獸醫師(佐)：蔡祐吉,聯絡電話：04-23131759,地     址：臺中市西屯區四川路97號,營業項目：內、外、產、皮膚科
大和家畜診所,開業執照：雲診字第30號,發照日期：1997-10-21,負責獸醫師(佐)：廖笙宏,聯絡電話：05-5863082,地     址：雲林縣西螺鎮漢光里中正路171巷5號,營業項目：
大和動物醫院,開業執照：嘉府獸師開字第5號,發照日期：2017-11-10,負責獸醫師(佐)：蔡金龍,聯絡電話：05-2302629,地     址：嘉義縣中埔鄉中山路5段862號,營業項目：寵物
大直動物醫院,開業執照：北市獸業字第428號,發照日期：2011-05-24,負責獸醫師(佐)：吳伊婷,聯絡電話：02-85096306,地     址：臺北市中山區北安路468號1樓,營業項目：小動物診療
大社毛毛動物醫院,開業執照：高市獸師開字第419號,發照日期：2025-10-17,負責獸醫師(佐)：許文馨,聯絡電話：07-3535316,地     址：高雄市大社區中山路114號,營業項目：動物診療、動物住院
大社家畜醫院,開業執照：高縣獸醫開字第53號,發照日期：2000-12-15,負責獸醫師(佐)：李約增,聯絡電話：07-3517741,地     址：高雄市大社區三民路244號,營業項目：動物診療
大原動物診所,開業執照：苗獸開字第85001號,發照日期：2019-01-30,負責獸醫師(佐)：張啟德,聯絡電話：037-469694,地     址：苗栗縣竹南鎮中正路159號,營業項目：僅提供經濟動物診療
大原動物醫院,開業執照：中市獸醫開字第105138號,發照日期：2017-04-18,負責獸醫師(佐)：莊連鋒,聯絡電話：04-23891108,地     址：臺中市南屯區黎明路二段165號,營業項目：小動物臨床內、外、骨科
大晉動物醫院,開業執照：雲診字第50號,發照日期：2000-12-14,負責獸醫師(佐)：林晉央,聯絡電話：05-5515166,地     址：土庫鎮民生路110-2號,營業項目：
大桔動物醫院,開業執照：桃獸師開執字第307號,發照日期：2023-11-08,負責獸醫師(佐)：林美娟,聯絡電話：03-4350198,地     址：桃園市中壢區莊敬路119號,營業項目：犬貓內外科
大眾家畜醫院,開業執照：北市獸業字第23號,發照日期：1981-03-04,負責獸醫師(佐)：姚枝煌,聯絡電話：02-25861518,地     址：台北市重慶北路三段51號,營業項目：內、外、皮膚科、藥浴
大眾動物醫院,開業執照：高市獸師開字第283號,發照日期：2013-02-25,負責獸醫師(佐)：陳鴻文,聯絡電話：07-6255802,地     址：高雄市岡山區大義二路72號,營業項目：內科、外科、皮膚科
大勝家畜診所,開業執照：嘉府獸佐開字第7號,發照日期：2017-11-10,負責獸醫師(佐)：林坤源,聯絡電話：05-2770726,地     址：嘉義縣竹崎鄉獅埜村1鄰東義13號,營業項目：經濟動物
大富動物醫院,開業執照：嘉府獸師開字第67號,發照日期：2017-12-18,負責獸醫師(佐)：羅富國,聯絡電話：0921715288,地     址：嘉義縣太保市春珠里97-11號,營業項目：經濟動物
大揚動物醫院,開業執照：高市獸師開字第152號,發照日期：1997-05-09,負責獸醫師(佐)：李連洲,聯絡電話：07-5521133,地     址：高雄市鼓山區華榮路240-6號,營業項目：內外產科、骨科、皮膚科
大敦寵物醫院,開業執照：中市獸醫開字第105218號,發照日期：2017-12-14,負責獸醫師(佐)：戴更基,聯絡電話：04-23200208,地     址：臺中市西區精誠一街2號,營業項目：小動物內、外科
大晶動物醫院,開業執照：北市獸業字第161號,發照日期：1991-02-12,負責獸醫師(佐)：陳忠民,聯絡電話：02-25970625,地     址：台北市農安街72號1樓,營業項目：內、外、產科診療
大森林動物醫院,開業執照：彰府農防師開字第159號,發照日期：2022-09-01,負責獸醫師(佐)：莊子昇,聯絡電話：04-7287562,地     址：彰化縣彰化市中正路2段338號,營業項目：動物內科、外科及家醫診療
大湖動物醫院,開業執照：北市獸業字第330號,發照日期：,負責獸醫師(佐)：黃國安,聯絡電話：02-2796-8241,地     址：臺北市內湖區成功路5段10號1樓,營業項目：內科 外科 產科
大雅動物醫院,開業執照：中市獸醫開字第105020號,發照日期：2017-01-19,負責獸醫師(佐)：劉宗仁,聯絡電話：04-25608583,地     址：台中市大雅區中清路3段1045號,營業項目：一般內、外、產科
大雄動物醫院,開業執照：竹縣字第17號,發照日期：2020-10-29,負責獸醫師(佐)：廖洲億,聯絡電話：5551290,地     址：新竹縣竹北市華興街257號,營業項目：內科、外科
大順動物醫院,開業執照：高市建獸醫字第98號,發照日期：1993-07-26,負責獸醫師(佐)：李文衡,聯絡電話：07-7529642,地     址：高雄市苓雅區大順三路230號,營業項目：內外產科、骨科、皮膚科
大愛動物醫院,開業執照：南縣獸師診開字第184號,發照日期：2009-04-27,負責獸醫師(佐)：陸宗廷,聯絡電話：06-3300599,地     址：台南市歸仁區中山路3段146號,營業項目：動物疾病診療、內科、外科、產科
大愛動物醫院,開業執照：南市獸開字第152號,發照日期：2015-03-11,負責獸醫師(佐)：江明德,聯絡電話：06-2831699,地     址：臺南市北區和緯路二段516號,營業項目：內科、外科、產科、皮膚科、骨科、眼科、檢驗科
大愛動物醫院,開業執照：北市獸業字第306號,發照日期：2000-09-19,負責獸醫師(佐)：黃國倫,聯絡電話：87805116,地     址：臺北市松德路74號1樓,營業項目：內外科皮膚科
大愛動物醫院,開業執照：投府農畜師開字第28號,發照日期：2013-08-19,負責獸醫師(佐)：廖璿程,聯絡電話：049-2381559,地     址：南投縣草屯鎮博愛路407號,營業項目：預防注射、內科、外科
大新動物醫院,開業執照：新北獸醫業字第409號,發照日期：2021-02-09,負責獸醫師(佐)：陳欣妍,聯絡電話：02-2292-0133,地     址：新北市五股區新五路2段369號,營業項目：犬貓鼠兔內科及外科
大業動物醫院,開業執照：桃獸師開執字第116號,發照日期：2002-07-09,負責獸醫師(佐)：葉翹瑜,聯絡電話：03-4946888,地     址：桃園市平鎮區延平路二段二九四號,營業項目：內外產科
大業動物醫院,開業執照：北市獸業字第170號,發照日期：,負責獸醫師(佐)：黃仁佑,聯絡電話：02-28107070,地     址：臺北市士林區延平北路5段314號,營業項目：內、外、骨、產科
大群動物醫院,開業執照：北市獸業字第443號,發照日期：2013-01-12,負責獸醫師(佐)：陳泰良,聯絡電話：02-29305557,地     址：臺北市文山區羅斯福路6段136號1樓,營業項目：內外科、產科、皮膚科
大群動物醫院,開業執照：投府農畜師開字第12號,發照日期：1994-10-24,負責獸醫師(佐)：謝長紘,聯絡電話：049-223730,地     址：南投市中興路551號,營業項目：犬隻疾病診療
大群動物醫院,開業執照：南縣獸師診開字第189號,發照日期：2010-09-17,負責獸醫師(佐)：謝豐舟,聯絡電話：065712351,地     址：台南市麻豆區保安里8鄰文昌路17-5號,營業項目：禽畜疾病診斷、治療
大福小幸動物醫院,開業執照：竹市府產農字第980078732號,發照日期：2017-10-16,負責獸醫師(佐)：鄭銘賢,聯絡電話：,地     址：新竹市經國路三段92巷6號,"營業項目：內外科,產科,急診,重症加護,中西醫復健,長照."
大慶獸醫院,開業執照：北縣獸醫業字第162號,發照日期：2004-02-16,負責獸醫師(佐)：林明順,聯絡電話：22661075,地     址：土城區中華路1段22號,營業項目：內科 外科 產科 骨科
大曜動物醫院,開業執照：新北獸醫業字第351號,發照日期：2015-07-22,負責獸醫師(佐)：廖欽宏,聯絡電話：8260-2323,地     址：新北市土城區學成路46號,營業項目：小動物醫療
大豐獸醫院,開業執照：高縣獸醫開字第45號,發照日期：1995-04-13,負責獸醫師(佐)：陳石城,聯絡電話：0938112561,地     址：高雄市路竹區大社路172號一樓,營業項目：動物診療、動物住院
大灣動物醫院,開業執照：南縣獸佐診開字第37號,發照日期：2008-09-18,負責獸醫師(佐)：王坤銘,聯絡電話：06-2732119,地     址：台南市永康區大灣路610號1樓,營業項目：動物疾病診斷、內、外、產科
小小尾巴動物醫院,開業執照：新北獸醫業字第423號,發照日期：2022-07-01,負責獸醫師(佐)：蔡旻烜,聯絡電話：2625-2205,地     址：新北市淡水區新市三路2段265號,營業項目：犬貓醫療
小小貓動物醫院,開業執照：北市獸業字第424號,發照日期：,負責獸醫師(佐)：徐綺羚,聯絡電話：02-25337529,地     址：臺北市中山區朱崙街91號1樓,營業項目：臨床小動物醫療
小丹尼寵物醫院,開業執照：中市獸醫開字第108006號,發照日期：2019-07-24,負責獸醫師(佐)：黃國定,聯絡電話：04-22955888,地     址：臺中市北屯區文心路四段217號1樓,營業項目：犬貓診療
小毛屋動物醫院,開業執照：南市獸開字第188號,發照日期：2020-09-11,負責獸醫師(佐)：陳柏甫,聯絡電話：06-2675559,地     址：臺南市東區台南市東門路三段47之1號,營業項目：狗、貓、鼠、兔、鳥類、爬蟲、內科、外科
小水豚非犬貓動物醫院,開業執照：新北獸醫業字第451號,發照日期：2023-11-15,負責獸醫師(佐)：賴益平,聯絡電話：2990-6905,地     址：新北市新莊區幸福東路140號1樓,營業項目：非犬貓動物醫療
小王子動物醫院,開業執照：北市獸業字第498號,發照日期：2015-10-27,負責獸醫師(佐)：林建良,聯絡電話：02-25676897,地     址：臺北市松山區八德路4段123號1樓,營業項目：小動物內外科診療、手術、X光、超音波檢查、復健治療、住院、處方
小王子動物醫院復健分院,開業執照：北市獸業字第568號,發照日期：2020-06-19,負責獸醫師(佐)：林哲宇,聯絡電話：02-25221097,地     址：臺北市松山區八德路4段123號1樓,營業項目：術後復健評估、步態評估、復健治療、水療、徒手治療、電療、雷射、震波、理療用超音波
小王子貓專科醫院,開業執照：北市獸業字第562號,發照日期：2020-01-20,負責獸醫師(佐)：留博彥,聯絡電話：02-27061297,地     址：臺北市大安區建國南路2段197號,營業項目：醫療服務、手術服務、住院服務
小可愛動物醫院,開業執照：府建農字第65號,發照日期：1999-08-01,負責獸醫師(佐)：郭明仁,聯絡電話：05-2768560,地     址：嘉義市金龍街155號,營業項目：小動物門診
小布動物醫院,開業執照：北市獸業字第573號,發照日期：,負責獸醫師(佐)：吳乃聖,聯絡電話：02-26547337,地     址：臺北市南港區永吉路548號,營業項目：犬貓一般內外科、產科、心臟科、內分泌科、影像科
小米動物醫院,開業執照：桃獸師開執字第268號,發照日期：2018-03-15,負責獸醫師(佐)：黃思豪,聯絡電話：03-3164371,地     址：桃園市桃園區同安街383號,營業項目：小動物內科診療、外科手術
小伴動物醫院,開業執照：嘉市獸開字第100號,發照日期：2023-02-10,負責獸醫師(佐)：賴妍霖,聯絡電話：05-2330250,地     址：嘉義市西區中興路281號,營業項目：犬貓醫療
小宏動物醫院,開業執照：(114)疫政字第1號,發照日期：2025-04-07,負責獸醫師(佐)：莊友宏,聯絡電話：0921970381,地     址：金門縣金寧鄉慈湖路一段113號,營業項目：動物診療/內科/外科/產科/
小怪獸動物醫院,開業執照：屏獸開字第133號,發照日期：2020-08-24,負責獸醫師(佐)：李俊賢,聯絡電話：08-8330383,地     址：屏東縣東港鎮成功路138號,營業項目：犬、貓、鼠、兔
小果苗動物醫院,開業執照：桃獸師開執字第276號,發照日期：2019-06-24,負責獸醫師(佐)：畢維剛,聯絡電話：03-3577027,地     址：桃園市桃園區南平路512號,營業項目：小動物內科、外科 、影像血液檢驗診斷、治療及住院
小林犬貓診所,開業執照：彰府農防師開字第138號,發照日期：2015-08-06,負責獸醫師(佐)：林香君,聯絡電話：047697672,地     址：彰化縣福興鄉番花路1段167號,營業項目：動物疾病預防及動物疾病診療
小狐狸動物醫院,開業執照：中市獸醫開字第112004號,發照日期：2023-03-31,負責獸醫師(佐)：謝沛旂,聯絡電話：04-23937141,地     址：臺中市北屯區太順路91號,營業項目：動物診療、一般內外科
小花動物醫院,開業執照：苗縣獸師開字第103039號,發照日期：2018-06-27,負責獸醫師(佐)：王崇印,聯絡電話：037-690886,地     址：苗栗縣頭份市中央路358號,營業項目：門診及住院診療
小胖貓動物診所,開業執照：府授畜防字第1060001090號,發照日期：2019-08-19,負責獸醫師(佐)：李曉萍,聯絡電話：06-9228962,地     址：澎湖縣馬公市東衛里196號,營業項目：動物疾病診療
小島動物醫院,開業執照：中市獸醫開字第109011號,發照日期：2020-08-31,負責獸醫師(佐)：方軒芃,聯絡電話：04-23767158,地     址：臺中市西區三民西路83號,營業項目：特殊寵物醫療
小栩動物醫院,開業執照：桃獸師開執字第293號,發照日期：2022-05-13,負責獸醫師(佐)：張雅欣,聯絡電話：03-4758001,地     址：桃園市楊梅區中山北路一段494巷90號,營業項目：一般內外科、預防注射、健檢、住院照護
小野菊動物醫院,開業執照：新北獸醫業字第350號,發照日期：2015-07-14,負責獸醫師(佐)：徐俊智,聯絡電話：02-26732730,地     址：新北市三峽區學府路32號,營業項目：動物診療
小傢伙動物醫院,開業執照：新北獸醫業字第398號,發照日期：2020-07-28,負責獸醫師(佐)：蔡明宏,聯絡電話：02-82950204,地     址：新北市五股區成泰路1段44號,營業項目：小動物內外科
