name,place_id,buss_status,geometry,update_time,in_boundary,update_date,address,phone,opening_hours,rating,rating_total,longitude,latitude,map_url,website,newest_review
尚品蒸餃,ChIJZ9FfgDI7aTQR2gIpua9RUKE,OPERATIONAL,"{'lat': 24.0443976, 'lng': 120.6883066}",2025/11/07 14:42:47,True,2025/11/07,413台灣臺中市霧峰區柳豐路480號食品業登錄字號B-20018751100001-4,0423305658,"['星期一: 11:00 – 13:45, 17:00 – 19:45' '星期二: 11:00 – 13:45, 17:00 – 19:45'
 '星期三: 11:00 – 13:45, 17:00 – 19:45' '星期四: 11:00 – 13:45, 17:00 – 19:45'
 '星期五: 11:00 – 13:45, 17:00 – 19:30' '星期六: 11:00 – 13:30, 17:00 – 19:30'
 '星期日: 11:00 – 13:30, 17:00 – 19:45']",4.2,111,120.6882672,24.0443724,https://maps.google.com/?cid=11623880453410849498,,2023-09-25
敘 MODERN •,ChIJfdmk9HI7aTQRPJ-za3PadQ4,OPERATIONAL,"{'lat': 24.0474899, 'lng': 120.6877245}",2025/11/07 14:42:47,True,2025/11/07,413台灣臺中市霧峰區柳豐路500號亞洲大學現代美術館 敘MODERN ·,0423399981#6480,"['星期一: 09:30 – 17:30' '星期二: 09:30 – 17:30' '星期三: 09:30 – 17:30'
 '星期四: 09:30 – 17:30' '星期五: 09:30 – 17:30' '星期六: 09:30 – 18:00'
 '星期日: 09:30 – 18:00']",4.2,257,120.6877245,24.0474899,https://maps.google.com/?cid=1041979078069165884,https://m.facebook.com/%E6%95%98-Modern--435782390583550/,2025-10-10
清心好素館 福新店 대만감성,ChIJ2T9xEBQ7aTQRVjTPgzsPo4g,OPERATIONAL,"{'lat': 24.0508769, 'lng': 120.6841053}",2025/11/07 14:42:47,True,2025/11/07,413台灣臺中市霧峰區福新路280號,0423301809,"['星期一: 11:00 – 14:00, 17:00 – 20:00' '星期二: 11:00 – 14:00, 17:00 – 20:00'
 '星期三: 11:00 – 14:00, 17:00 – 20:00' '星期四: 11:00 – 14:00, 17:00 – 20:00'
 '星期五: 11:00 – 14:00, 17:00 – 20:00' '星期六: 11:00 – 14:00' '星期日: 休息']",4.5,251,120.6840927,24.0508947,https://maps.google.com/?cid=9845729958650917974,https://myship.7-11.com.tw/general/detail/GM2108027563971,2024-10-14
Shokunin Ice Lab,ChIJEdKgDN47aTQRDPg4ILdYQiI,OPERATIONAL,"{'lat': 24.0439762, 'lng': 120.6955541}",2025/11/07 14:42:47,True,2025/11/07,413004台灣臺中市霧峰區新生路110號,,"['星期一: 休息' '星期二: 休息' '星期三: 11:00 – 18:00' '星期四: 11:00 – 18:00'
 '星期五: 11:00 – 18:00' '星期六: 12:00 – 18:00' '星期日: 12:00 – 18:00']",4.9,134,120.6955453,24.0439587,https://maps.google.com/?cid=2468633089295317004,https://www.facebook.com/shokuninicelab,2025-10-24
小品養殖（24小時預約制）蜜袋鼯 刺蝟 坎貝爾卷毛倉鼠 通心粉鼠 肥尾沙鼠 狐獴 雪貂 拇指松鼠 睡鼠 花枝鼠,ChIJTTL2e25zbjQRPCzNcp3hYzI,OPERATIONAL,"{'lat': 22.9077227, 'lng': 120.2508117}",2025/11/07 14:42:51,True,2025/11/07,717台灣臺南市仁德區中洲路667號,0985121510,"['星期一: 24 小時營業' '星期二: 24 小時營業' '星期三: 24 小時營業' '星期四: 24 小時營業'
 '星期五: 24 小時營業' '星期六: 24 小時營業' '星期日: 24 小時營業']",4.9,822,120.2508104,22.9077273,https://maps.google.com/?cid=3630993790942915644,https://linkby.tw/0985121510,2025-08-04
PANDA PASTA 胖貓義大利麵🐼 10/24-10/25中午有開，晚上休息！不定時公休，詳情請見粉專公告📣,ChIJEX9w0fZ1bjQRtc5qVEgFYts,OPERATIONAL,"{'lat': 22.9189323, 'lng': 120.224906}",2025/11/07 14:42:51,True,2025/11/07,717台灣臺南市仁德區二行一路141號,0975770864,"['星期一: 11:30 – 14:20, 17:00 – 21:00' '星期二: 11:30 – 14:20, 17:00 – 21:00'
 '星期三: 11:30 – 14:20, 17:00 – 21:00' '星期四: 11:00 – 14:30, 17:00 – 21:00'
 '星期五: 11:00 – 14:20, 17:00 – 21:00' '星期六: 11:30 – 14:20, 17:00 – 21:00'
 '星期日: 11:30 – 14:20, 17:00 – 21:00']",4.8,104,120.2249087,22.9189316,https://maps.google.com/?cid=15808203450235932341,https://www.instagram.com/pang_maomao?igsh=dWI0b2tnamxuOHVr&utm_source=qr,2025-04-12
Ricci Caffè / 不定休，休假日公布於IG/FB,ChIJB-k9OoR1bjQRLm2y_hzoI1Y,OPERATIONAL,"{'lat': 22.9237287, 'lng': 120.2361637}",2025/11/07 14:42:51,True,2025/11/07,71754台灣台南市仁德区中正路一段251巷25弄36號,062669718,"['星期一: 11:00 – 20:30' '星期二: 11:00 – 20:30' '星期三: 11:00 – 20:30'
 '星期四: 11:00 – 20:30' '星期五: 11:00 – 20:30' '星期六: 11:00 – 20:30'
 '星期日: 11:00 – 20:30']",4.7,261,120.2361637,22.9237287,https://maps.google.com/?cid=6207059922676509998,https://www.facebook.com/riccicaffetw/,2024-09-02
憶春風麵館,ChIJ_____3zicTQRlDUqj3srSV8,OPERATIONAL,"{'lat': 22.5062448, 'lng': 120.393675}",2025/11/07 14:42:55,True,2025/11/07,832台灣高雄市林園區文化街174號,076423409,"['星期一: 10:30 – 14:00, 16:30 – 20:30' '星期二: 10:30 – 14:00, 16:30 – 20:30'
 '星期三: 10:30 – 14:00, 16:30 – 20:30' '星期四: 10:30 – 14:00, 16:30 – 20:30'
 '星期五: 10:30 – 14:00, 16:30 – 20:30' '星期六: 10:30 – 14:00, 16:30 – 20:30'
 '星期日: 休息']",4.5,357,120.3936664,22.5062441,https://maps.google.com/?cid=6866066916585911700,https://www.facebook.com/pages/%E6%86%B6%E6%98%A5%E9%A2%A8%E9%BA%B5%E9%A4%A8/129317310479824,2023-01-29
13號 鱔魚·花枝麵,ChIJp0KH6CfjcTQRb66mqXv2GJ0,OPERATIONAL,"{'lat': 22.5069103, 'lng': 120.3955873}",2025/11/07 14:42:55,True,2025/11/07,832台灣高雄市林園區忠孝東路13號,076429968,"['星期一: 10:00 – 14:00, 16:00 – 20:00' '星期二: 10:00 – 14:00, 16:00 – 20:00'
 '星期三: 10:00 – 14:00, 16:00 – 20:00' '星期四: 10:00 – 14:00, 16:00 – 20:00'
 '星期五: 10:00 – 14:00, 16:00 – 20:00' '星期六: 休息'
 '星期日: 10:00 – 14:00, 16:00 – 20:00']",5.0,72,120.3955873,22.5069103,https://maps.google.com/?cid=11320068674383425135,https://page.line.me/458kopbo,2024-02-16
汪記北方麵食,ChIJ7QQXcgDjcTQRpc3tB4TbSt8,OPERATIONAL,"{'lat': 22.507631, 'lng': 120.3883317}",2025/11/07 14:42:55,True,2025/11/07,832台灣高雄市林園區王公路351號,076416028,"['星期一: 10:00 – 20:30' '星期二: 10:00 – 20:30' '星期三: 10:00 – 20:30'
 '星期四: 10:00 – 20:30' '星期五: 10:00 – 20:30' '星期六: 10:00 – 20:30'
 '星期日: 10:00 – 20:30']",4.4,34,120.3883213,22.5076427,https://maps.google.com/?cid=16089913978849709477,https://www.facebook.com/share/15dxt6gycd/,2025-03-27
上上籤極品麻辣鴛鴦鍋 ｜全台首間 上上籤 成都串串麻辣鍋｜高雄麻辣鍋名店｜台17線美食｜墾丁旅途美食｜高雄美食｜正宗成都串串火鍋｜小琉球美食｜牛油麻辣鍋,ChIJyYrFyrbjcTQR7OpdoTP2VSU,OPERATIONAL,"{'lat': 22.5015313, 'lng': 120.3875284}",2025/11/07 14:42:55,True,2025/11/07,832台灣高雄市林園區田厝路83號,076431887,"['星期一: 18:00 – 23:00' '星期二: 休息' '星期三: 18:00 – 23:00' '星期四: 休息'
 '星期五: 18:00 – 23:00' '星期六: 11:30 – 15:00, 17:30 – 23:00'
 '星期日: 11:30 – 15:00, 17:30 – 22:30']",4.4,1211,120.3875284,22.5015313,https://maps.google.com/?cid=2690327054034791148,https://m.facebook.com/%E4%B8%8A%E4%B8%8A%E7%B1%A4%E6%A5%B5%E5%93%81%E9%BA%BB%E8%BE%A3%E9%B4%9B%E9%B4%A6%E9%8D%8B-526847897804048/,2024-10-02
阿香澎湖碳烤,ChIJH-kQvq7jcTQRoxijHv0_BFA,OPERATIONAL,"{'lat': 22.4899491, 'lng': 120.3864569}",2025/11/07 14:42:55,True,2025/11/07,832台灣高雄市林園區半廍路174號1之1號,0931796486,"['星期一: 17:00 – 23:00' '星期二: 17:00 – 23:00' '星期三: 17:00 – 23:00'
 '星期四: 17:00 – 23:00' '星期五: 17:00 – 23:00' '星期六: 17:00 – 23:00'
 '星期日: 17:00 – 23:00']",4.6,3667,120.3864569,22.4899491,https://maps.google.com/?cid=5765803779314358435,,2025-10-10
林園菜市場王記古早肉圓,ChIJX43xCHzicTQR8gSRwtV5oeY,OPERATIONAL,"{'lat': 22.5050425, 'lng': 120.3952261}",2025/11/07 14:42:55,True,2025/11/07,832台灣高雄市林園區林園北路111巷25號,076412791,"['星期一: 06:00 – 12:00' '星期二: 06:00 – 12:00' '星期三: 06:00 – 12:00'
 '星期四: 06:00 – 12:00' '星期五: 06:00 – 12:30' '星期六: 06:00 – 12:00'
 '星期日: 06:00 – 12:00']",4.6,73,120.3952261,22.5050425,https://maps.google.com/?cid=16618698058973119730,,2025-02-22
