name_filtered,address_filtered,city,district,place_id,name_checked,business_status,address_checked,phone,opening_hours,types,rating,rating_total,longitude,latitude,map_url,website,newest_review
飽屋寵物美容,臺中市西屯區大隆路72號2樓,臺中市,西屯區,ChIJ-ShZIFs9aTQRpPCDuPrVC_M,飽屋寵物美容｜預約制｜寵物住宿｜寵物安親｜寵物鮮食｜寵物接送｜狗狗美容到府教學,OPERATIONAL,407台灣臺中市西屯區大隆路72號2樓,0966293606,"['星期一: 10:00 – 20:00', '星期二: 10:00 – 20:00', '星期三: 10:00 – 20:00', '星期四: 10:00 – 20:00', '星期五: 10:00 – 20:00', '星期六: 10:00 – 20:00', '星期日: 休息']","['establishment', 'pet_store', 'point_of_interest', 'store']",4.7,71.0,120.6524786,24.1567273,https://maps.google.com/?cid=17513326848774500516,http://www.facebook.com/BaoWu0214/,2020-03-25
我的狗寵物美容住宿,高雄市三民區高雄市三民區民族一路525號,高雄市,三民區,ChIJ-ZHI8pMFbjQRt7zP9EVOy9g,My Dog 寵物美容．住宿,OPERATIONAL,807台灣高雄市三民區民族一路525號,073501623,"['星期一: 11:00 – 19:00', '星期二: 休息', '星期三: 11:00 – 19:00', '星期四: 11:00 – 19:00', '星期五: 11:00 – 19:00', '星期六: 11:00 – 19:00', '星期日: 11:00 – 19:00']","['establishment', 'point_of_interest']",4.9,78.0,120.3162724,22.6655655,https://maps.google.com/?cid=15621665794831662263,https://www.facebook.com/mydogpetgrooming2020/,2022-01-22
澎澎時光寵物美容,高雄市苓雅區光華一路311號,高雄市,苓雅區,ChIJ-aZktjsFbjQRzcgZAk9JDrA,澎澎時光寵物美容．寵物住宿 (澎澎TIMES),OPERATIONAL,802台灣高雄市苓雅區光華一路311號,072226220,"['星期一: 10:00 – 19:00', '星期二: 10:00 – 19:00', '星期三: 10:00 – 19:00', '星期四: 10:00 – 19:00', '星期五: 10:00 – 19:00', '星期六: 10:00 – 19:00', '星期日: 休息']","['establishment', 'point_of_interest']",4.9,75.0,120.3144825,22.6263134,https://maps.google.com/?cid=12686157804035754189,https://www.facebook.com/BonBonTIMES/,2022-11-13
球球幼犬寵物店,新北市中和區中正路641號1樓,新北市,中和區,ChIJ-bV5_EipQjQR4AHG37k_cts,球球幼犬寵物店,OPERATIONAL,235台灣新北市中和區中正路641號1樓,0976762283,"['星期一: 11:00 – 21:30', '星期二: 11:00 – 21:30', '星期三: 11:00 – 21:30', '星期四: 11:00 – 21:30', '星期五: 11:00 – 21:30', '星期六: 11:00 – 21:30', '星期日: 11:00 – 21:30']","['establishment', 'pet_store', 'point_of_interest', 'store']",4.6,320.0,121.4850276,24.9957282,https://maps.google.com/?cid=15812771309207028192,,2025-08-19
金狗錐狗狗商行,臺北市松山區南京東路五段163-4號1樓,臺北市,松山區,ChIJ-wCcHROrQjQRZBWTY9tfyj4,金狗錐狗狗寵物旅館（預約制）小型犬安親住宿、狗狗美容,OPERATIONAL,105台灣臺北市松山區南京東路五段163-4號,0227494873,"['星期一: 09:00 – 21:00', '星期二: 09:00 – 21:00', '星期三: 09:00 – 21:00', '星期四: 09:00 – 21:00', '星期五: 09:00 – 21:00', '星期六: 09:00 – 21:00', '星期日: 09:00 – 21:00']","['establishment', 'point_of_interest', 'store']",5.0,59.0,121.5626835,25.0516991,https://maps.google.com/?cid=4524534171520144740,https://www.facebook.com/105885414560021/posts/130438382104724/?extid=ZJOZ242l9TrCRuqG&d=n,2021-10-03
醬棒貓旅工作室,臺中市西區自由路一段28-5號1樓,臺中市,西區,ChIJ-y0efGc9aTQRs36czlSKmeM,醬棒貓旅工作室,OPERATIONAL,408034台灣臺中市南屯區大業路355號4樓,0919828148,,"['establishment', 'point_of_interest']",5.0,45.0,120.6460044,24.1535031,https://maps.google.com/?cid=16400291614894620339,https://www.facebook.com/jbcat2020520?mibextid=LQQJ4d,2025-06-02
九零一寵物美容,桃園市桃園區新埔里經國路221號,桃園市,桃園區,ChIJ-ywQqLIfaDQR3l1jCZ1NNUs,901寵物生活SPA旅館,OPERATIONAL,330台灣桃園市桃園區經國路221號,033255715,"['星期一: 11:00 – 20:00', '星期二: 11:00 – 20:00', '星期三: 休息', '星期四: 11:00 – 20:00', '星期五: 11:00 – 20:00', '星期六: 11:00 – 20:00', '星期日: 11:00 – 20:00']","['establishment', 'pet_store', 'point_of_interest', 'store']",4.6,45.0,121.3077404,25.0122092,https://maps.google.com/?cid=5419323063472971230,,2019-06-08
咘啦格寵物實業社,新北市土城區土城區中央路4段291號,新北市,土城區,ChIJ0-xg9Y0caDQRBxdc8E9sh0o,布拉格寵物沙龍,OPERATIONAL,236台灣新北市土城區中央路四段291號號,0222672291,"['星期一: 休息', '星期二: 10:00 – 20:00', '星期三: 10:00 – 20:00', '星期四: 10:00 – 20:00', '星期五: 10:00 – 20:00', '星期六: 10:00 – 20:00', '星期日: 休息']","['establishment', 'point_of_interest']",4.7,52.0,121.4113656,24.9520092,https://maps.google.com/?cid=5370380171253389063,,2025-06-06
咘啦格寵物實業社,新北市土城區土城區中央路4段291號,新北市,土城區,ChIJ0-xg9Y0caDQRBxdc8E9sh0o,布拉格寵物沙龍,OPERATIONAL,236台灣新北市土城區中央路四段291號號,0222672291,"['星期一: 休息', '星期二: 10:00 – 20:00', '星期三: 10:00 – 20:00', '星期四: 10:00 – 20:00', '星期五: 10:00 – 20:00', '星期六: 10:00 – 20:00', '星期日: 休息']","['establishment', 'point_of_interest']",4.7,52.0,121.4113656,24.9520092,https://maps.google.com/?cid=5370380171253389063,,2025-06-06
狗城堡寵物沙龍,新北市土城區中央路1段45巷7號1F,新北市,土城區,ChIJ0-xg9Y0caDQRBxdc8E9sh0o,布拉格寵物沙龍,OPERATIONAL,236台灣新北市土城區中央路四段291號號,0222672291,"['星期一: 休息', '星期二: 10:00 – 20:00', '星期三: 10:00 – 20:00', '星期四: 10:00 – 20:00', '星期五: 10:00 – 20:00', '星期六: 10:00 – 20:00', '星期日: 休息']","['establishment', 'point_of_interest']",4.7,52.0,121.4113656,24.9520092,https://maps.google.com/?cid=5370380171253389063,,2025-06-06
狗城堡寵物沙龍,新北市土城區中央路1段45巷7號1F,新北市,土城區,ChIJ0-xg9Y0caDQRBxdc8E9sh0o,布拉格寵物沙龍,OPERATIONAL,236台灣新北市土城區中央路四段291號號,0222672291,"['星期一: 休息', '星期二: 10:00 – 20:00', '星期三: 10:00 – 20:00', '星期四: 10:00 – 20:00', '星期五: 10:00 – 20:00', '星期六: 10:00 – 20:00', '星期日: 休息']","['establishment', 'point_of_interest']",4.7,52.0,121.4113656,24.9520092,https://maps.google.com/?cid=5370380171253389063,,2025-06-06
貓掌印別館,臺中市西區自由路一段40之6號1樓,臺中市,西區,ChIJ05svWRk9aTQR0ZJx2Hk7McQ,貓掌印別館,OPERATIONAL,403台灣臺中市西區136 自由路一段40-6號1樓,0975497373,"['星期一: 17:30 – 21:30', '星期二: 17:30 – 21:30', '星期三: 17:30 – 21:30', '星期四: 17:30 – 21:30', '星期五: 17:30 – 21:30', '星期六: 17:30 – 21:30', '星期日: 17:30 – 21:30']","['establishment', 'point_of_interest']",4.9,31.0,120.6710436,24.1317665,https://maps.google.com/?cid=14137146099801101009,https://www.facebook.com/catsittertw/,2025-06-16
東森寵物雲股份有限公司南區新興分公司,臺南市南區新興路509號之2及509號之3,臺南市,南區,ChIJ06Qpi3x1bjQRcleo-ne2hc8,東森寵物 台南新興店,OPERATIONAL,702台灣臺南市南區新興路509-2號509-3號,062611161,"['星期一: 10:00 – 22:00', '星期二: 10:00 – 22:00', '星期三: 10:00 – 22:00', '星期四: 10:00 – 22:00', '星期五: 10:00 – 22:00', '星期六: 10:00 – 22:00', '星期日: 10:00 – 22:00']","['establishment', 'point_of_interest', 'store']",4.7,217.0,120.1878787,22.9746773,https://maps.google.com/?cid=14953558764176299890,https://www.oscar-pet.com.tw/,2025-03-07
寵兒貝特,新北市三重區自強路5段67號1樓,新北市,三重區,ChIJ06tbpSupQjQRYW_icxgn5pU,寵兒貝特,OPERATIONAL,241台灣新北市三重区自强路五段67號1樓,0289825058,"['星期一: 休息', '星期二: 10:00 – 18:30', '星期三: 10:00 – 18:30', '星期四: 10:00 – 18:30', '星期五: 10:00 – 18:30', '星期六: 10:00 – 18:30', '星期日: 10:00 – 18:30']","['establishment', 'point_of_interest']",4.9,59.0,121.4949135,25.0818598,https://maps.google.com/?cid=10801363742271631201,https://instagram.com/love_better_67?utm_medium=copy_link,2025-02-09
法蘭西斯卡寵物美容,高雄市苓雅區福建街258號,高雄市,苓雅區,ChIJ0SP6RcYFbjQRCRkX4E4sxB0,Franziska 法蘭西斯卡寵物美容,OPERATIONAL,802台灣高雄市苓雅區福建街258號1樓,072615753,"['星期一: 10:00 – 18:00', '星期二: 10:00 – 18:00', '星期三: 10:00 – 18:00', '星期四: 休息', '星期五: 休息', '星期六: 10:00 – 18:00', '星期日: 10:00 – 18:00']","['establishment', 'point_of_interest']",5.0,56.0,120.315005,22.623379,https://maps.google.com/?cid=2144888039813880073,https://www.facebook.com/khfranziska,2021-01-04
心寵有限公司,新北市新莊區福德一街72號及76號1樓,新北市,新莊區,ChIJ0U0ESJWpQjQRGE570U-fiwg,毛寵舒室,OPERATIONAL,242台灣新北市新莊區福德一街76號,0285211343,"['星期一: 09:00 – 21:00', '星期二: 09:00 – 21:00', '星期三: 09:00 – 21:00', '星期四: 09:00 – 21:00', '星期五: 09:00 – 21:00', '星期六: 09:00 – 21:00', '星期日: 09:00 – 21:00']","['establishment', 'point_of_interest', 'store']",4.9,74.0,121.4614532,25.0562582,https://maps.google.com/?cid=615760939231956504,http://www.petscomfortzone.tw/,2021-09-21
寵愛有加股份有限公司,臺北市大安區安和路二段41號1樓,臺北市,大安區,ChIJ0WKy2k-pQjQRosyByDSR_HI,寵物華爾滋 －台北大安區 (寵物按摩，寵物安親，寵物住宿，寵物美容，老犬照護) 寵物皮毛護理,OPERATIONAL,106台灣台北市大安区安和路二段41號1樓,0227117248,"['星期一: 休息', '星期二: 10:00 – 19:30', '星期三: 10:00 – 19:30', '星期四: 10:00 – 18:30', '星期五: 10:00 – 19:30', '星期六: 10:00 – 19:30', '星期日: 10:00 – 19:30']","['establishment', 'pet_store', 'point_of_interest', 'store']",5.0,81.0,121.5526587,25.0314923,https://maps.google.com/?cid=8285657070343146658,http://www.petswaltz.com/,2025-02-19
米妮美樂寵物沙龍,高雄市左營區民族一路1182號,高雄市,左營區,ChIJ0Y5zPgUXbjQRDfBNAoCO7fk,妮可寵物沙龍&智元寵物美學苑 寵物美容/住宿/教學,OPERATIONAL,813台灣高雄市左營區崇德路538號,0938682571,"['星期一: 休息', '星期二: 11:00 – 20:00', '星期三: 11:00 – 20:00', '星期四: 11:00 – 20:00', '星期五: 11:00 – 20:00', '星期六: 11:00 – 20:00', '星期日: 11:00 – 20:00']","['establishment', 'pet_store', 'point_of_interest', 'store']",4.7,23.0,120.299001,22.6785377,https://maps.google.com/?cid=18009207165370101773,,2025-08-13
甜媽幸福寵物,桃園市八德區高明里高城五街22巷5弄3號,桃園市,八德區,ChIJ0Z40dkUfaDQR6YhHKYGeNvU,甜媽幸福寵物,OPERATIONAL,334台灣桃園市八德區高城五街22巷5弄3號,0938997020,"['星期一: 10:00 – 21:00', '星期二: 10:00 – 21:00', '星期三: 10:00 – 21:00', '星期四: 10:00 – 21:00', '星期五: 10:00 – 21:00', '星期六: 10:00 – 21:00', '星期日: 10:00 – 21:00']","['establishment', 'point_of_interest']",4.7,61.0,121.2769513,24.9777617,https://maps.google.com/?cid=17669484465615243497,,2024-03-09
海灣樂世界股份有限公司,臺中市北屯區東山路二段151之2號1樓、2樓,臺中市,北屯區,ChIJ0ZXouSkZaTQRr95DgPP-JpU,海灣樂世界/啵比星球,OPERATIONAL,406台灣臺中市北屯區東山路二段151之2號,0422399520,"['星期一: 10:00 – 18:00', '星期二: 10:00 – 18:00', '星期三: 休息', '星期四: 10:00 – 18:00', '星期五: 10:00 – 18:00', '星期六: 10:00 – 18:00', '星期日: 10:00 – 18:00']","['amusement_park', 'establishment', 'point_of_interest']",4.6,8206.0,120.7641988,24.198961,https://maps.google.com/?cid=10747557882548706991,http://pic.sopili.net/l/facebook/page/111078593678293,2025-07-19
涵禹寵物工作室,新北市中和區中原街106號1樓,新北市,中和區,ChIJ0aQVWMepQjQRQDZf-b3LN8k,Amazing Dog 好狗狗｜寵物訓練｜寵物旅館,OPERATIONAL,235024台灣新北市中和區中原街106號,0282211683,"['星期一: 09:00 – 20:00', '星期二: 09:00 – 20:00', '星期三: 09:00 – 20:00', '星期四: 09:00 – 20:00', '星期五: 09:00 – 20:00', '星期六: 09:00 – 20:00', '星期日: 09:00 – 20:00']","['establishment', 'point_of_interest']",5.0,71.0,121.4869605,25.0102729,https://maps.google.com/?cid=14499281542135625280,https://instagram.com/amazingdog.training.hotel?igshid=YTQwZjQ0NmI0OA==,2025-04-22
端溜桃貓屋,新北市新莊區福壽街142巷15號1樓,新北市,新莊區,ChIJ0bL3IIWpQjQRzPm1weUegD4,溜溜貓屋་培育布偶貓、短腿貓 、金吉拉་合法貓舍｜附設貓旅館（全預約制）,OPERATIONAL,242台灣新北市新莊區福壽街142巷15號,,"['星期一: 12:00 – 20:00', '星期二: 12:00 – 20:00', '星期三: 12:00 – 20:00', '星期四: 12:00 – 20:00', '星期五: 12:00 – 20:00', '星期六: 12:00 – 20:00', '星期日: 12:00 – 20:00']","['establishment', 'pet_store', 'point_of_interest', 'store', 'veterinary_care']",4.8,88.0,121.458646,25.051991,https://maps.google.com/?cid=4503633599516768716,,2023-05-13
張羅企業社,臺北市士林區士東路18號1樓,臺北市,士林區,ChIJ0bONWpavQjQR8qUDMY_n7zc,酉家寵物旅館,OPERATIONAL,111台灣臺北市士林區士東路18號1樓,0228341296,"['星期一: 10:00 – 20:00', '星期二: 10:00 – 20:00', '星期三: 10:00 – 20:00', '星期四: 10:00 – 20:00', '星期五: 10:00 – 20:00', '星期六: 10:00 – 20:00', '星期日: 10:00 – 20:00']","['establishment', 'point_of_interest']",4.5,62.0,121.5269377,25.1117446,https://maps.google.com/?cid=4030694793708545522,http://yuepet2019.com.tw/,2021-12-06
羅弟家寵物生活館,臺中市西區民興街133號1樓、2樓,臺中市,西區,ChIJ0dMs7DM9aTQRI6vOfAMl_zo,Gogohome X DDwash,OPERATIONAL,403台灣臺中市西區民興街133號,,,"['establishment', 'point_of_interest']",5.0,9.0,120.6634792,24.1304624,https://maps.google.com/?cid=4251157270170086179,https://instagram.com/gogohomexddwash?igshid=YmMyMTA2M2Y=,2023-07-31
哈克狗與湯姆貓寵物生活館,高雄市苓雅區四維三路174-5號,高雄市,苓雅區,ChIJ0eo3a4MEbjQRvORHMXPQxEE,哈克狗&湯姆貓寵物生活館,OPERATIONAL,802台灣高雄市苓雅區林森二路80號,073386870,"['星期一: 10:30 – 21:30', '星期二: 10:30 – 21:30', '星期三: 10:30 – 21:30', '星期四: 10:30 – 21:30', '星期五: 10:30 – 21:30', '星期六: 10:30 – 21:30', '星期日: 10:30 – 21:30']","['establishment', 'point_of_interest', 'store']",4.5,247.0,120.3073338,22.6187189,https://maps.google.com/?cid=4739141901067216060,,2024-12-18
花襪子的家寵物生活館,臺北市士林區天母北路38號1樓,臺北市,士林區,ChIJ1-KBaY6vQjQR4AIf7KqjMvE,花襪子的家寵物旅館,OPERATIONAL,111台灣臺北市士林區天母北路38號,0228719019,,"['establishment', 'point_of_interest']",4.0,29.0,121.5263937,25.1202629,https://maps.google.com/?cid=17380133866477388512,,2022-07-18
兆綸寵物精緻旅店,新北市板橋區館前西路120號2、3樓,新北市,板橋區,ChIJ1-nFcyYDaDQRWdOvJEjmdHs,唯酷3C配件館 板橋館前西店,OPERATIONAL,22055台灣新北市板橋區館前西路120號,0289697614,"['星期一: 11:00 – 22:00', '星期二: 11:00 – 22:00', '星期三: 11:00 – 22:00', '星期四: 11:00 – 22:00', '星期五: 11:00 – 22:00', '星期六: 11:00 – 22:00', '星期日: 11:00 – 22:00']","['establishment', 'point_of_interest']",4.9,760.0,121.4568787,25.0075903,https://maps.google.com/?cid=8895988361491108697,https://www.facebook.com/wecool.f05/,2025-08-10
河童寵物部屋,臺南市永康區正強里9鄰自強路296號1樓,臺南市,永康區,ChIJ126PpsxwbjQRyQE_9e_dmeo,河童寵物部屋（預約制）,OPERATIONAL,710台灣臺南市永康區自強路296號,062033756,"['星期一: 休息', '星期二: 10:00 – 19:00', '星期三: 10:00 – 19:00', '星期四: 10:00 – 19:00', '星期五: 10:00 – 19:00', '星期六: 10:00 – 19:00', '星期日: 休息']","['establishment', 'pet_store', 'point_of_interest', 'store']",4.4,68.0,120.2521081,23.0285267,https://maps.google.com/?cid=16904786698993336777,http://www.06-2033756.com/index.html,2024-01-02
吉貓寓所,臺北市大安區和平東路二段297號3樓,臺北市,大安區,ChIJ12s964yrQjQR6D0iUYsc27w,吉貓寓所 | 台北24hrs純貓旅館 • 頂級美容,OPERATIONAL,106台灣臺北市大安區和平東路二段297號3樓,0227091225,"['星期一: 12:00 – 20:00', '星期二: 12:00 – 20:00', '星期三: 12:00 – 20:00', '星期四: 12:00 – 20:00', '星期五: 12:00 – 20:00', '星期六: 12:00 – 20:00', '星期日: 12:00 – 20:00']","['establishment', 'point_of_interest']",5.0,35.0,121.5447553,25.0249946,https://maps.google.com/?cid=13608502083717316072,https://www.luckycatresort.tw/,2025-07-03
毛嶼商行,新北市新店區中興路2段221號,新北市,新店區,ChIJ13VK7b0BaDQRrN1sAt5dXoc,毛嶼 Pets wonderland,OPERATIONAL,231台灣新北市新店區中興路二段221號1樓,0908802202,"['星期一: 10:00 – 19:00', '星期二: 10:00 – 19:00', '星期三: 10:00 – 19:00', '星期四: 10:00 – 19:00', '星期五: 10:00 – 19:00', '星期六: 10:00 – 19:00', '星期日: 10:00 – 19:00']","['establishment', 'pet_store', 'point_of_interest', 'store']",4.8,17.0,121.547974,24.97439,https://maps.google.com/?cid=9754337051035884972,https://taplink.cc/mao.yu,2025-10-03
鸚粹斯特工作坊,臺南市後壁區頂安里6鄰頂寮105號之24,臺南市,後壁區,ChIJ16BssNaFbjQR5a2J-0omzUs,鸚鵡的家,OPERATIONAL,730台灣臺南市新營區民治路 183巷2號,066569026,"['星期一: 休息', '星期二: 10:00 – 18:00', '星期三: 10:00 – 18:00', '星期四: 10:00 – 18:00', '星期五: 10:00 – 18:00', '星期六: 10:00 – 18:00', '星期日: 10:00 – 16:00']","['establishment', 'pet_store', 'point_of_interest', 'store']",4.5,166.0,120.3041786,23.3069853,https://maps.google.com/?cid=5462064026559819237,,2024-10-23
達特歐寵物旅館,桃園市大園區五權里五青路183巷53號,桃園市,大園區,ChIJ1754PUsgaDQRhy5J6Kpi9-k,DOTEL寵物旅館,OPERATIONAL,337台灣桃園市大園區五青路183巷53號,,"['星期一: 10:00 – 18:00', '星期二: 10:00 – 18:00', '星期三: 10:00 – 18:00', '星期四: 10:00 – 18:00', '星期五: 10:00 – 18:00', '星期六: 10:00 – 18:00', '星期日: 10:00 – 18:00']","['establishment', 'point_of_interest']",4.5,41.0,121.2358223,25.0189497,https://maps.google.com/?cid=16859052216265813639,http://facebook.com/dotel53,2019-03-10
五心興業有限公司,臺中市豐原區圓環東路839號1、2、3樓,臺中市,豐原區,ChIJ177qQBMaaTQRmcbBlVpnCbU,日升寵物概念館,OPERATIONAL,420台灣臺中市豐原區圓環東路839號,0425203090,"['星期一: 09:00 – 22:00', '星期二: 09:00 – 22:00', '星期三: 09:00 – 22:00', '星期四: 09:00 – 22:00', '星期五: 09:00 – 22:00', '星期六: 09:00 – 22:00', '星期日: 09:00 – 22:00']","['establishment', 'pet_store', 'point_of_interest', 'store']",4.4,630.0,120.7290144,24.2567278,https://maps.google.com/?cid=13045071434412574361,https://www.sunny520pet.com/,2023-06-15
犬太寵物生活館,新北市中和區景新街383巷74號1樓,新北市,中和區,ChIJ18klqQwCaDQRRD6lCdqZAm8,犬太寵物生活館,OPERATIONAL,235台灣新北市中和區景新街383巷74號,0229477099,"['星期一: 10:00 – 20:00', '星期二: 10:00 – 20:00', '星期三: 10:00 – 20:00', '星期四: 10:00 – 20:00', '星期五: 10:00 – 20:00', '星期六: 10:00 – 20:00', '星期日: 休息']","['establishment', 'pet_store', 'point_of_interest', 'store']",4.7,25.0,121.5146832,24.9900384,https://maps.google.com/?cid=7999125049907166788,https://www.facebook.com/profile.php?id=100054573424811,2018-09-03
轟轟的家寵物美容,高雄市苓雅區中正一路436號1樓,高雄市,苓雅區,ChIJ19BxIcwFbjQRUAY2m55bRM0,轟轟的家寵物美容｜住宿｜安親｜Home+Pet Pet Salon,OPERATIONAL,802台灣高雄市苓雅區中正一路436號,0929578927,"['星期一: 10:30 – 18:30', '星期二: 10:30 – 18:30', '星期三: 10:30 – 18:30', '星期四: 休息', '星期五: 10:30 – 18:30', '星期六: 10:30 – 18:30', '星期日: 10:30 – 18:30']","['establishment', 'pet_store', 'point_of_interest', 'store']",5.0,45.0,120.3245425,22.6299864,https://maps.google.com/?cid=14791047812958520912,https://www.facebook.com/homepet2022,2024-02-21
維嫺企業社,高雄市鳳山區青年路二段135號1樓,高雄市,鳳山區,ChIJ1QLEEIMdbjQRhgFziuvyzHQ,雋永企業社,OPERATIONAL,830台灣高雄市鳳山區中崙二路577巷12之1號1樓號,0989065685,"['星期一: 08:00 – 18:00', '星期二: 08:00 – 18:00', '星期三: 08:00 – 18:00', '星期四: 08:00 – 18:00', '星期五: 08:00 – 18:00', '星期六: 08:00 – 18:00', '星期日: 08:00 – 18:00']","['establishment', 'point_of_interest']",5.0,1.0,120.3536798,22.5994426,https://maps.google.com/?cid=8416368897102643590,,2025-02-28
