ID,ShelterName,CityName,address,Phone,OpenTime,Url,Lon,Lat,Seq
PS00000021,臺東縣動物收容中心,臺東縣,臺東縣臺東市中華路4段999巷600號,089-362011,周一至周日上午9:30~11:30 下午2:30~4:30,,121.10281,22.72708,21
PS00000020,花蓮縣狗貓躍動園區,花蓮縣,花蓮縣花蓮市鳳林鎮林榮里永豐路255號,(03)8421452,週一至週六，上午10:00~12:00 下午2:00~4:00(遇週日及國定假日停止開放),,121.472542,23.800496,20
PS00000019,宜蘭縣流浪動物中途之家,宜蘭縣,宜蘭縣五結鄉成興村利寶路60號,03-9602350 分機620,週一至週五，上午10:00-12:00，下午1:00-4:00<br/>週六，上午10:30至下午2...,,121.831205,24.667123,19
PS00000018,公立南投動物收容所,南投縣,南投縣南投市嶺興路36-1號,049-2225440,認養：週一至週五，上午9:00-11:30，下午1:30-4:00 及週六上午9:00-11:30<>...,,120.668089,23.903414,18
PS00000016,臺中市動物之家后里園區,臺中市,臺中市后里區堤防路370號,04-25588024,每週一、二、四、六及日上午10:00至12:00，下午1:30至4:00(週三、週五及國定假日休園),,120.709565,24.286387,16
PS00000015,臺中市動物之家南屯園區(整修中),臺中市,臺中市南屯區中台路601號,04-23850976,目前整修中，暫不開放認養及參觀,,120.575271,24.147718,15
PS00000014,苗栗縣生態保育教育中心(苗栗縣動物收容所),苗栗縣,苗栗縣銅鑼鄉朝陽村6鄰朝北55-1號,037-320049(苗栗縣動物保護防疫所)；037-558228(動物收容所),週三~週五，上午8:30-12:00，下午13:00~16:00(12:00-13:00休息時間) ...,,120.792794,24.499823,14
PS00000013,新竹縣公立動物收容所,新竹縣,新竹縣竹北市縣政五街192號,03-5519548,週二至週五上午 9:00~11:30，下午13:00~16:00，週六(不含連假及節日)10:00~...,,121.015064,24.828458,13
PS00000012,新竹市動物保護教育園區,新竹市,新竹市南寮里海濱路250號,03-5368329,週一至週五，上午10:00-12:00，下午14:00-16:00 ，週六上午10:00-12:00...,,120.920123,24.833904,12
PS00000011,桃園市動物保護教育園區,桃園市,327桃園市新屋區永興里藻礁路1668號,03-4861760,1. 開放參觀時間：每週二、四、五、六、日，上午09:30~下午16:00。(中午12時~13時，不...,,121.027773,25.008495,11
PS00000010,新北市三芝區公立動物之家,新北市,新北市三芝區青山路(龍巖人本旁),02-26365436,週一至週五，上午10:00~12:00，下午2:00~4:00,,121.531237,25.22877,10
PS00000009,新北市八里區公立動物之家,新北市,新北市八里區長坑里6鄰長坑道路36號,02-26194428,週一至週五，上午10:00~12:00，下午2:00~4:00,,121.398165,25.087633,9
PS00000008,新北市五股區公立動物之家,新北市,新北市五股區外寮路9-9號,02-82925265,週二至週日，上午10:00~12:00，下午2:00~4:00,,121.419501,25.076948,8
PS00000007,新北市瑞芳區公立動物之家,新北市,新北市瑞芳區靜安路四段(106縣道74.5K清潔隊場區內),02-24063481,週一至週五，上午10:00~12:00，下午2:00~4:00,,121.796862,25.075986,7
PS00000006,新北市淡水區公立動物之家,新北市,新北市淡水區下圭柔山91-3號,02-26267558,週一至週五，上午10:00~12:00 ，下午2:00~4:00,,121.449615,25.208705,6
PS00000005,新北市中和區公立動物之家,新北市,新北市中和區興南路三段100號,02-86685547,週二至週日，上午10時至12時，下午2時至4時,,121.488831,24.975578,5
PS00000004,新北市新店區公立動物之家,新北市,新北市新店區安泰路235號,02-22159462,週二至週六，上午10:00~12:00，下午2:00~4:00,,121.490808,24.927154,4
PS00000003,新北市板橋區公立動物之家,新北市,新北市板橋區板城路28-1號,02-89662158,週二至週日，上午10:00~12:00，下午2:00~4:00,,121.448372,24.995361,3
PS00000002,基隆市寵物銀行,基隆市,基隆市七堵區大華三路45-12號(欣欣安樂園旁),02-24560148,開放參訪時間 : 週二～週六，上午9:00~12:00，下午13:00~16:30；<br/>開放認...,,121.674207,25.127154,2
PS00000001,臺北市動物之家,臺北市,臺北市內湖區潭美街852號,02-87913254 、02-87913255,週二至週日，上午10:00~12:30，下午1:30~4:00,,121.608935,25.063111,1
PS00000017,彰化縣流浪狗中途之家,彰化縣,彰化縣員林鎮大峰里阿寶巷426號(大門入口請由彰化縣芬園鄉大彰路一段875巷進入走到底),04-8590638,週一至週日(週五不開放)上午10:00~12:00，下午2:00~4:00。 每週五為消毒日，不對外開放。,,120.62456130981445,23.967646440958173,17
